,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Camere per piano,Stelle,Piani tot,Elenco piani,Posti letto tot,Posti letto per piano,Tipo struttura
199,BOSTON,VIA LEPETIT ROBERTO,7,2096,2,25,6;7;7;5,1,4,1;2;3;4,41,9;10;11;5,ALBERGO
234,BRASIL,VIA MODENA GUSTAVO,20,3122,3,17,0,1,,,25,0,ALBERGO
155,BULGARI HOTELS  E  RESORTS MILANO,VIA F.LLI GABBA,7,146,1,59,0,,,,118,0,ALBERGO
162,CALIPSO,VIA GAFFURIO FRANCHINO,1,2138,3,19,,1,,,32,,ALBERGO
175,CAMPERIO HOUSE HOTEL  E  RESIDENCE,VIA GIULINI GIORGIO,6,613,1,10,0,4,,,20,0,ALBERGO
333,CARLTON HOTEL BAGLIONI,VIA SENATO,5,236,1,93,0,5,,,186,0,ALBERGO
14,CARLYLE BRERA HOTEL,CSO GARIBALDI GIUSEPPE,84,1010,1,98,14;14;14;14;14;14;14,4,7,1;2;3;4;5;6;7,203,29;29;29;29;29;29;29,ALBERGO
449,CASA ALBERGO RESIDENCE ZARA LAGOSTA,VLE ZARA,1,1170,9,32,,4,,,64,,RESIDENCE
247,CENTRO ALBERGHIERO ORNATO,VIA ORNATO LUIGI,64,1591,9,144,93;51,3,2,1;2,252,141;80,ALBERGO
123,CLASS,VIA CORNALIA EMILIO,7,1182,9,26,3;9,2,3,1;2;3,52,6;18,RESIDENCE
197,COLOMBIA,VIA LEPETIT ROBERTO,15,2096,2,48,3;9;9;9;9;9,4,6,R;1;2;3;4;5,81,4;16;16;16;15;14,ALBERGO
241,CONTESSA JOLANDA- ATTIVITÀ PROMISCUA 133 APPARTAMENTI (266 POSTI LETTO) E 9 CAMERE ALBERGO PER 18 POSTI LETTO PER UN TOTALE DI 284 POSTI LETTO,VIA MURAT GIOACCHINO,21,1316,9,133,;;;;,4,8,4;5;3;7;2,266,;;;;,RESIDENCE
250,CORVETTO RESIDENCE PORTO DI MARE,VIA OSIMO AUGUSTO,10,4303,4,64,0,4,,,200,0,RESIDENCE
6,CRISTOFORO COLOMBO,CSO BUENOS AIRES,3,2129,3,116,4;23;24;24,4,4,2;3;4;5,191,5;38;40;40,ALBERGO
174,CROWNE PLAZA MILAN CITY,VIA GIOIA MELCHIORRE,73,1108,2,109,0,4,,,218,0,ALBERGO
372,DEPENDANCE HOTEL BERNA,VIA TORRIANI NAPO,17,2126,2,16,0,3,,,24,0,ALBERGO
403,DOMUS,VLE ABRUZZI,67,2177,3,20,,3,,,36,,RESIDENCE
418,DORIA GRAND HOTEL,VLE DORIA ANDREA,22,2230,3,124,12;22;22;22;22;22;22;22;22;22,4,10,1;2;3;4;5;6;7;8;9;0,234,23;23;23;23;23;23;23;23;23;23,ALBERGO
415,DORIA SUISSE,VLE DEI MILLE,48,3115,3,14,,1,4,,20,,ALBERGO
207,DOUBLE TREE BY HILTON MILAN,VIA LUDOVICO DI BREME,77,7396,8,240,0,4,,,480,0,ALBERGO
46,DUCA DI MILANO,PZA DELLA REPUBBLICA,13,1055,2,99,6;6;6;6;6;6;6;6;6;6,I,,1;2;3;4;5;6;7;8;9;0,189,11;11;11;11;11;11;11;11;11;11,ALBERGO
24,ENTERPRISE HOTEL,CSO SEMPIONE,91,,8,113,0,4,,,216,0,ALBERGO
344,EUROHOTEL,VIA SIRTORI GIUSEPPE,24,2180,3,60,,3,,,101,,ALBERGO
416,EXELLENT,VLE DEI MILLE,48,3115,3,14,14,1,,,16,16,ALBERGO
28,FERRARI,CSO VERCELLI,55,6193,7,14,5;5;4,1,3,R;1;2,25,8;10;7,ALBERGO
375,FLORA,VIA TORRIANI NAPO,23,2126,2,50,9;9;9;9;9;4,3,6,1;2;3;4;5;6,83,15;15;15;15;15;7,ALBERGO
198,FLORIDA,VIA LEPETIT ROBERTO,33,2096,2,57,12;12;11;10;8,3,5,1;2;3;4;5,98,20;20;20;18;16,ALBERGO
170,FOUR SEASON HOTEL MILAN,VIA GESU',10,227,1,118,18;35;34;11,5,4,T;1;2;3,240,36;70;68;22,ALBERGO
102,GIANNI,VIA CARCANO FILIPPO,47,6389,7,8,4;4,1,2,R;1,10,5;5,ALBERGO
176,GIUSTI 6,VIA GIUSTI GIUSEPPE,6,7127,1,72,6;20;20;22;22;18;18;6,3,7,R;1;2;3;4;5;6;7,169,13;48;48;54;54;48;48;6,RESIDENCE
398,GONZAGA,VIA VITRUVIO,43,2134,2,28,0,3,,,67,0,ALBERGO
237,GRAN DUCA DI YORK,VIA MONETA,1/a,570,1,33,,3,,,60,,ALBERGO
45,GRAND HOTEL DUOMO,PZA DEL DUOMO,25,1,1,161,29;30;50;38;22;2,4,7,1;2;3;4;5;A,244,42;46;62;60;31;3,ALBERGO
217,GRAND HOTEL ET DE MILAN,VIA MANZONI ALESSANDRO,29,230,1,102,20;22;26;12,5 STELLE LUSSO,5,1;2;3;4;5,158,31;33;32;38;24,ALBERGO
173,GRAND HOTEL VERDI,VIA GIOIA MELCHIORRE,6,1108,9,99,0,4,,,198,0,ALBERGO
424,GRAND VISCONTI PALACE,VLE ISONZO,14,4211,5,172,0,4,,,388,0,ALBERGO
423,GREEN HOUSE,VLE FAMAGOSTA,50,5353,6,45,0,3,,,92,0,ALBERGO
422,GREEN HOUSE RESIDENCE,VLE FAMAGOSTA,48,5353,6,54,22;22;10,4,3,R;1;3,97,38;38;21,RESIDENCE
168,HILTON MILAN,VIA GALVANI LUIGI,12,1179,2,320,46;67;68;47;51;23;20;10,4,8,2;3;4;5;6;7;8;9,469,61;88;87;63;66;44;35;17,ALBERGO
79,HOLIDAY INN MILAN GARIBALDI STATION,VIA BASSI UGO,1/a,1143,9,134,35;26;30;30;19,4,,1;2;3;4;5,272,60;48;53;50;26,ALBERGO
100,HOTEL   LEONARDO,VIA CARCANO FILIPPO,37,6389,7,12,,1,,,22,,ALBERGO
127,"HOTEL ""LA VIGNETTA""",VIA CUSTODI PIETRO,2,5199,5,31,,1,,,56,,ALBERGO
396,HOTEL 2000,VIA VITRUVIO,28,2134,3,14,0,2,,,25,0,ALBERGO
358,HOTEL AC MILANO,VIA TAZZOLI ENRICO,2,1118,9,160,0,4,,,320,0,ALBERGO
428,HOTEL ACAPULCO,VLE LOMBARDIA,59,2400,3,11,0,1,,,18,0,ALBERGO
411,HOTEL ACCADEMIA,VLE CERTOSA,68,7174,8,66,0,4,,,130,0,ALBERGO
316,HOTEL ADA,VIA SAMMARTINI GIOVANNI BATTISTA,15,1202,2,18,0,2,1,,25,0,ALBERGO
184,HOTEL ADELCHI LAMBRATE,VIA INGEGNOLI FRANCESCO,20,2559,3,16,0,1,,,25,0,ALBERGO
302,HOTEL ADLER,VIA RICORDI GIOVANNI,10,2251,3,23,4;8;4;4;3,3,5,T;1;2;3;4,43,8;13;5;5;4,ALBERGO
142,HOTEL ADMIRAL,VIA DOMODOSSOLA,16,7152,8,60,10;10;10;10;10;10,4,6,1;2;3;4;5;6,102,17;17;17;17;17;17,ALBERGO
156,HOTEL AGAPE,VIA FLUMENDOSA,35,2522,2,43,7;9,3,5,T;1;2;3;4,75,13;16,ALBERGO
414,HOTEL ALADIN,VLE DEI MILLE,48,3115,3,10,0,1,,,17,0,ALBERGO
368,HOTEL ALBERT,VIA TONALE,2,1213,2,62,15;15;15;13;4,3,5,1;2;3;4;5,102,26;26;26;19;5,ALBERGO
125,HOTEL ALESSANDER,VIA CORTINA D'AMPEZZO,17,4259,5,13,0,2,,,23,0,ALBERGO
138,HOTEL ALGA,VIA DEL MARE,93,5318,5,87,0,3,,,159,0,ALBERGO
399,HOTEL AMADEUS,VIA VITRUVIO,48,2134,3,83,0,3,,,150,0,ALBERGO
31,HOTEL AMBASCIATORI,GLL DEL CORSO,3,305,1,87,12;16;16;14;12;10;4,4,7,3;4;5;6;7;8;9,150,23;26;32;26;24;17;9,ALBERGO
94,HOTEL AMBRA,VIA CACCIANINO ANTONIO,10,2419,3,8,8,1,,,18,18,ALBERGO
101,HOTEL AMENDOLA FIERA,VIA CARCANO FILIPPO,39,6389,7,11,11,1,,,23,23,ALBERGO
25,HOTEL AMERICA,CSO VENTIDUE MARZO,32,3074,4,9,,1,,,18,,ALBERGO
440,HOTEL ARCO ROMANA,VLE SABOTINO,16,4046,5,13,0,2,,,25,0,ALBERGO
294,HOTEL ARES,VIA PORRO EDOARDO,8,1226,9,13,13,3,,,21,21,ALBERGO
73,HOTEL ARIOSTO,VIA ARIOSTO LODOVICO,22,6184,1,48,1;14;14;12;12,3,5,R;1;2;3;4,96,1;21;21;19;18,ALBERGO
33,HOTEL ARISTON,LGO CARROBBIO,2,542,1,52,8;8;8;8;8;8,3,6,1;2;3;4;5;6,95,15;15;15;12;10;10,ALBERGO
88,HOTEL ARIZONA,VIA BRESSANONE,4/a,7425,8,80,18,4,,1;2;3;4;5,120,24,ALBERGO
41,HOTEL ASPROMONTE,PZA ASPROMONTE,12/14,2246,3,19,4;8;7,3,3,T;1;2,31,9;12;10,ALBERGO
376,HOTEL ATLANTIC,VIA TORRIANI NAPO,24,2126,2,62,8;11;10,4,6,1;2;3;4;5;6,91,13;16;14,ALBERGO
379,HOTEL AUGUSTUS,VIA TORRIANI NAPO,29,2126,2,56,9;7;4;6;3;9;9;9,3,8,4;5;6;S;R;1;2;3,93,15;11;5;10;7;15;15;15,ALBERGO
2,HOTEL AURORA,CSO BUENOS AIRES,18,2129,3,16,16,1,1,1,25,25,ALBERGO
258,HOTEL AUTOSOLE 2,VIA PALMIERI NICOLA,64,5323,5,23,23,3,,,46,46,ALBERGO
85,HOTEL BAGLIORI,VIA BOSCOVICH RUGGERO,43,2131,3,14,,3,,,19,,ALBERGO
109,HOTEL BAVIERA,VIA CASTALDI PANFILO,7,2119,2,52,13,4,4,1;2;3;4,92,19;18,ALBERGO
165,HOTEL BEL SIT,VIA GALLARATE,2,7420,8,17,0,2,,,25,0,ALBERGO
377,HOTEL BERNINA,VIA TORRIANI NAPO,27,2126,2,44,0,3,,,75,0,ALBERGO
68,HOTEL BOGART 2,VIA AOSTA,2,7227,8,15,,3,,,25,,ALBERGO
84,HOTEL BOLZANO,VIA BOSCOVICH RUGGERO,21,2131,2,35,5;10;10;10,3,4,T;1;2;3,68,7;16;16;18,ALBERGO
126,HOTEL BONAPARTE,VIA CUSANI,13,719,1,92,0,4,,,234,0,ALBERGO
369,HOTEL BONOLA,VIA TORRAZZA,15,7360,8,15,,2,,,25,,ALBERGO
408,HOTEL BRENTA MILANO,VLE BRENTA,33,4151,4,12,12,,,,23,23,ALBERGO
106,HOTEL BRIANZA,VIA CASTALDI PANFILO,16,2119,3,25,0;0,3,,;,36,0;0,ALBERGO
330,HOTEL BRISTOL,VIA SCARLATTI DOMENICO,32,2136,2,68,,4,,,116,,ALBERGO
77,HOTEL BRUNELLESCHI,VIA BARACCHINI FLAVIO,12,356,1,177,0,4,,,259,0,ALBERGO
3,HOTEL BUENOS AIRES,CSO BUENOS AIRES,26,2129,3,25,,3,,,39,,ALBERGO
293,HOTEL CA  GRANDE,VIA PORPORA NICOLA ANTONIO,87,2229,3,18,,1,,,21,,ALBERGO
405,HOTEL CAMPION,VLE BERENGARIO,3,6364,8,27,27,3,3,,51,49,ALBERGO
325,HOTEL CANADA,VIA SANTA SOFIA,16,408,1,35,0,3,,,78,0,ALBERGO
371,HOTEL CANOVA,VIA TORRIANI NAPO,15,2126,2,59,8;8;8;8;7;7;7;5;4,3,9,1;2;3;4;5;6;7;8;9,127,10;10;10;10;11;11;11;9;8,ALBERGO
117,HOTEL CAPITOL MILLENNIUM,VIA CIMAROSA DOMENICO,6,6291,7,66,,4,,,111,,ALBERGO
448,HOTEL CASA MIA,VLE VITTORIO VENETO,30,2107,2,15,,2,,,25,,ALBERGO
112,HOTEL CATALANI E MADRID,VIA CATALANI ALFREDO,71,2425,3,20,4;6;6;1,2,4,R;1;2;3,38,8;13;13;1,ALBERGO
146,HOTEL CAVOUR,VIA FATEBENEFRATELLI,21,144,1,121,35;0;21;15,4,5,1;2;3;4;5,224,55;0;39;38;36;24,ALBERGO
315,HOTEL CENTRAL STATION,VIA SAMMARTINI GIOVANNI BATTISTA,15,1202,2,17,17,1,1,1,25,25,ALBERGO
91,HOTEL CENTRO,VIA BROLETTO,46,720,1,54,13;10;10;10;8,3,5,1;2;3;4;5,94,24;18;18;18;10,ALBERGO
410,HOTEL CERTOSA,VLE CERTOSA,26,7174,8,25,25,3,,,50,50,ALBERGO
37,HOTEL CERVO,PLE PRINCIPESSA CLOTILDE,10,1061,9,57,0,3,,,79,0,ALBERGO
337,HOTEL CHARLY,VIA SETTALA LODOVICO,76,2111,3,20,3;4,2,3,T;1;2,34,6;8;4,ALBERGO
287,HOTEL CHOPIN,VIA PORPORA NICOLA ANTONIO,143,2229,3,10,0,1,,,21,0,ALBERGO
44,HOTEL CINQUE GIORNATE,PZA CINQUE GIORNATE,6,3053,1,22,,2,,,48,,ALBERGO
314,HOTEL CITTA  STUDI,VIA SALDINI CESARE,24,3206,3,45,,3,,,79,,ALBERGO
30,HOTEL CITY,GLL BUENOS AIRES,5,2146,3,60,3;10;;;;4;13,4,7,1;6;2;5;4;7;3,100,3;14;;;;7;22,ALBERGO
122,HOTEL CLUB,VIA COPERNICO NICOLO',18/20,1204,2,53,4;12;3,3,6,T;1;2;3;4;5,73,5;16,ALBERGO
432,HOTEL CONCORDE,VLE MONZA,132,2274,2,120,27;27;12;12;12;12;12;6,4,8,1;2;3;4;5;6;7;8,254,45;45;30;30;30;30;30;14,ALBERGO
318,HOTEL CONVERTINI,VIA SAN MAMETE,12,2413,2,13,13,1,1,1,28,28,ALBERGO
115,HOTEL CORALLO,VIA CESENA,20,7226,8,35,,3,,,48,,ALBERGO
35,HOTEL CORVETTO,PLE CORVETTO LUIGI EMANUELE,5,4174,4,15,3;6;6,1,3,R;1;2,25,4;7;7,ALBERGO
328,HOTEL CRISTALLO,VIA SCARLATTI DOMENICO,22,2136,3,104,,3,,,223,,ALBERGO
204,HOTEL CÀ BIANCA CORTE DEL NAVIGLIO,VIA LODOVICO IL MORO,117,5290,6,51,0,4,,,102,0,ALBERGO
406,HOTEL D ESTE,VLE BLIGNY,23,4045,5,84,15;15;15;9;9;9;7,4,7,1;2;3;4;5;6;7,138,26;26;25;14;14;14;14,ALBERGO
336,HOTEL DA XIN,VIA SETTALA LODOVICO,56,2111,3,7,1;4;2,1,3,T;1;2,11,2;6;3,ALBERGO
439,HOTEL DATEO,VLE PICENO,33,3114,4,17,17,2,,,33,33,ALBERGO
130,HOTEL DE ALBERTIS,VIA DE ALBERTIS SEBASTIANO,7,3138,3,11,0,2,,,18,0,ALBERGO
183,HOTEL DE LA VILLE,VIA HOEPLI ULRICO,6,190,1,109,,4,,,208,,ALBERGO
58,HOTEL DEI CAVALIERI,PZA MISSORI GIUSEPPE,1,525,1,167,,4,9,,305,,ALBERGO
300,HOTEL DEI FIORI,VIA RENZO E LUCIA,14,5412,5,53,,3,3,,108,,ALBERGO
262,HOTEL DEL CORSO,VIA PECCHIO GIUSEPPE,2,2240,3,26,0,4,,,45,0,ALBERGO
18,HOTEL DEL SUD,CSO LODI,74,4068,4,27,,1,,,46,,ALBERGO
71,HOTEL DELIZIA,VIA ARCHIMEDE,86/88,3086,4,14,6;8,2,2,R;1,25,12;12,ALBERGO
99,HOTEL DELLE NAZIONI,VIA CAPPELLINI ALFREDO,18,2130,2,81,16;16;17;17;15,3,5,1;2;3;4;5,163,25;25;27;26;21,ALBERGO
278,HOTEL DEMIDOFF,VIA PLINIO CAIO SECONDO,2,2144,3,43,7;7;7;11;4,3,5,1;2;3;4;5,65,10;10;10;16;4,ALBERGO
367,HOTEL DEMO,VIA TONALE,14,1213,2,28,3;7,3,,T;1;2,58,4;11,ALBERGO
343,HOTEL DES ETRANGER S,VIA SIRTE,9,6116,6,94,7;8;8;8;8;8,3,,1;2;3;4;5;6,159,13;14;14;14;14;13,ALBERGO
261,HOTEL DI PORTA ROMANA,VIA PAPI LAZZARO,18,4071,4,36,2;3;10;10;10,3,5,1;3;4;5;6,67,3;5;14;14;14,ALBERGO
34,HOTEL DIECI,LGO RIO DE JANEIRO,12,3174,3,29,0,4,,,41,0,ALBERGO
141,HOTEL DOMENICHINO,VIA DOMENICHINO,41,6383,7,64,21;11;10;8,3,5,1;2;3;4;5;6,110,29;16;15;12,ALBERGO
347,HOTEL DOVER,VIA SOTTOCORNO PASQUALE,8,3152,4,13,,2,,,24,,ALBERGO
219,HOTEL DUE GIARDINI,VIA MARCELLO BENEDETTO,47,2128,3,10,0,2,,,21,0,ALBERGO
394,HOTEL EDEN,VIA VITRUVIO,20,2134,3,17,0,2,2,,32,0,ALBERGO
136,HOTEL EDY,VIA DELLE FORZE ARMATE,8,6643,7,12,0,1,1,,25,0,ALBERGO
26,HOTEL EL DIABLO,CSO VENTIDUE MARZO,43,3074,4,9,0,1,,,15,0,ALBERGO
158,HOTEL EMMY,VIA FRA' GALGARIO,4,6607,7,10,,1,,,20,,ALBERGO
292,HOTEL ETRUSCO,VIA PORPORA NICOLA ANTONIO,56,2229,3,18,4;6;2,3,4,R;1;2;3,21,4;7;3,ALBERGO
97,HOTEL EUROPEO,VIA CANONICA LUIGI,38,7121,1,45,9;9;9;9;9,3,5,1;2;3;4;5,70,21;21;21;21;21,ALBERGO
51,HOTEL EXECELSIOR GALLIA,PZA DUCA D'AOSTA,9,1200,2,243,45;42;43;43;43;47,l,8,1;2;3;4;5;6,448,79;71;73;74;69;67,ALBERGO
17,HOTEL FIVE,CSO LODI,4,4068,5,21,21,,,,43,43,ALBERGO
40,HOTEL FLORENCE,PZA ASPROMONTE,22,2246,3,29,5;6;6,3,,1;2;3,56,9;11;11,ALBERGO
103,HOTEL FOUR POINTS SHERATON MILAN CENTRE,VIA CARDANO GEROLAMO,1,1187,9,254,0,4,,,465,0,ALBERGO
450,HOTEL GALA,VLE ZARA,89,1170,9,22,12;7;4,3,3,R;1;2,35,20;12;7,ALBERGO
12,HOTEL GALILEO,CSO EUROPA,9,300,1,89,12;12;12;12;12;11;5,4,7,1;2;3;4;5;6;7,159,22;22;22;22;22;21;6,ALBERGO
363,HOTEL GALLA,VIA TEODOSIO,37,2550,3,8,0,1,,,15,0,ALBERGO
56,HOTEL GALLES,PZA LIMA,2,2135,3,198,,4,,,395,,ALBERGO
159,HOTEL GAMBARA,VIA FRA' GALGARIO,4,6607,7,12,0,1,1,,24,0,ALBERGO
386,HOTEL GAMMA,VIA VALVASSORI PERONI CARLO,85,2580,3,58,8;7,3,7,1;2;3;4;5;6;7,99,14;9,ALBERGO
374,HOTEL GARDA,VIA TORRIANI NAPO,21,2126,2,56,5;11;12;12;11;6,3,,T;1;2;3;4;5,98,8;19;19;19;19;9,ALBERGO
311,HOTEL GARDEN,VIA RUTILIA,6,4229,5,23,9;14,2,2,R;1,48,13;27,ALBERGO
285,HOTEL GENIUS DOWN TOWN,VIA PORLEZZA,4,611,1,36,0,3,,,60,0,ALBERGO
134,HOTEL GIARDINO,VIA DEI MISSAGLIA,14,5340,5,19,,3,,,24,,ALBERGO
308,HOTEL GIULIO CESARE,VIA ROVELLO,10,722,1,24,0,3,,,34,0,ALBERGO
201,HOTEL GRAN SASSO,VIA LIPPI FILIPPINO,28,2196,3,22,,2,,,39,,ALBERGO
383,HOTEL GRECO,VIA UGOLINI GIUSEPPE,21/3,,9,8,8,2,,,20,20,ALBERGO
60,HOTEL GRITTI,PZA SANTA MARIA BELTRADE,4,514,1,48,,3,,,78,,ALBERGO
233,HOTEL HERMITAGE,VIA MESSINA,10,7211,8,131,0,4,,,262,0,ALBERGO
359,HOTEL HUA XIA MILANO,VIA TAZZOLI ENRICO,7,1118,9,35,23,4,,,41,24,ALBERGO
443,HOTEL IBIS MILANO CA  GRANDA,VLE SUZZANI GIOVANNI,13/15,,9,131,33,3,4,1;2;3;4,262,66,ALBERGO
154,HOTEL IBIS MILANO CENTRO,VIA FINOCCHIARO APRILE,2,2120,2,439,0,3,,,636,0,ALBERGO
417,HOTEL IDEALE,VLE DEI MILLE,60/62,3115,3,22,4;6;4,3,3,R;1;2,40,5;9;6,ALBERGO
295,HOTEL JOHNNY,VIA PRATI GIOVANNI,6,7149,8,31,1;10;10;10,3,4,T;1;2;3,69,2;16;36;36,ALBERGO
446,HOTEL KENNEDY,VLE TUNISIA,6,2121,3,13,16,1,1,6,23,23,ALBERGO
