Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
VIA FUMAGALLI ANGELO CARLO N. 4 (z.d. 6);VIA;FUMAGALLI ANGELO CARLO;4;5149;6;103;"24;16;15";4;art hotel navigli;5;"1;2;3;4;5";205;"48;31;30";Albergo
VIA GAFFURIO FRANCHINO N. 1 (z.d. 3);VIA;GAFFURIO FRANCHINO;1;2138;3;19;;1;calipso;;;32;;Albergo
VIA GAGGIA PIETRO N. 3 (z.d. 4);VIA;GAGGIA PIETRO;3;4187;4;259;;4;starhotels business palace;;;468;;Albergo
VIA GALILEI GALILEO N. 2 (z.d. 2);VIA;GALILEI GALILEO;2;1102;2;103;"18;18;18;18;18;27;17";4;hotel windsor;;"1;2;3;4;5;8;7";196;"27;27;27;27;27;18;27";Albergo
VIA GALLARATE N. 2 (z.d. 8);VIA;GALLARATE;2;7420;8;17;0;2;hotel bel sit;;;25;0;Albergo
VIA GALLINA GIACINTO N. 12 (z.d. 3);VIA;GALLINA GIACINTO;12;3105;3;54;;4;zefiro;5;;92;;Albergo
VIA GALLI RICCARDO N. 8 (z.d. 8);VIA;GALLI RICCARDO;8;6405;8;27;"7;;6;";3;HOTEL LIDO;4;"R;1;M;2";36;"10;;6;";Albergo
VIA GALVANI LUIGI N. 12 (z.d. 2);VIA;GALVANI LUIGI;12;1179;2;320;"46;67;68;47;51;23;20;10";4;hilton milan;8;"2;3;4;5;6;7;8;9";469;"61;88;87;63;66;44;35;17";Albergo
VIA GASPAROTTO LEOPOLDO N. 8 (z.d. 2);VIA;GASPAROTTO LEOPOLDO;8;1205;2;97;"25;28;9;10;0;26";4;hotel madison;;"2;1;R;4;;3";150;"34;38;25;20;0;33";Albergo
VIA GESU' N. 10 (z.d. 1);VIA;GESU';10;227;1;118;"18;35;34;11";5;four season hotel milan;4;"T;1;2;3";240;"36;70;68;22";Albergo
VIA GHIBERTI LORENZO N. 1 (z.d. 7);VIA;GHIBERTI LORENZO;1;6542;7;16;;3;residence portello;;;32;;Residence
VIA GIAMBELLINO N. 9 (z.d. 6);VIA;GIAMBELLINO;9;5136;6;9;9;2;residence giambellino di laura fiamberti;;;18;18;Residence
VIA GIOIA MELCHIORRE N. 6 (z.d. 9);VIA;GIOIA MELCHIORRE;6;1108;9;99;0;4;grand hotel verdi;;;198;0;Albergo
VIA GIOIA MELCHIORRE N. 73 (z.d. 2);VIA;GIOIA MELCHIORRE;73;1108;2;109;0;4;crowne plaza milan city;;;218;0;Albergo
VIA GIULINI GIORGIO N. 6 (z.d. 1);VIA;GIULINI GIORGIO;6;613;1;10;0;4;camperio house hotel  E  residence;;;20;0;Residence
VIA GIUSTI GIUSEPPE N. 6 (z.d. 1);VIA;GIUSTI GIUSEPPE;6;7127;1;72;"6;20;20;22;22;18;18;6";3;giusti 6;7;"R;1;2;3;4;5;6;7";169;"13;48;48;54;54;48;48;6";Residence
"VIA GOLDONI CARLO N. 31 iniziale; (z.d. 6)";VIA;GOLDONI CARLO;31;3183;3;18;0;4;hotel town house 31;;;32;0;Albergo
VIA GOLDONI CARLO N. 31 (z.d. 6);VIA;GOLDONI CARLO;31;3183;3;18;"3;6;6;3";1;jolie;4;"T;1;2;3";28;"4;9;9;6";Albergo
"VIA GOLDONI CARLO N. 84 3 e 4 piano; (z.d. 6)";VIA;GOLDONI CARLO;84;3183;3;14;0;3;royal;;;25;0;Albergo
"VIA GOLDONI CARLO N. 84 via goldoni 84 2^ piano; (z.d. 3)";VIA;GOLDONI CARLO;84;3183;3;10;10;2;hotel marlene;;;17;17;Albergo
"VIA GROSSI TOMMASO N. 1 licenza rilasciata dallo suap; (z.d. 1)";VIA;GROSSI TOMMASO;1;105;1;106;0;5;park hyatt milano;;;212;0;Albergo
VIA HAJECH CAMILLO N. 18 (z.d. 4);VIA;HAJECH CAMILLO;18;3091;4;11;0;2;la caravella;;;16;0;
VIA HOEPLI ULRICO N. 6 (z.d. 1);VIA;HOEPLI ULRICO;6;190;1;109;;4;hotel de la ville;;;208;;Albergo
VIA INGEGNOLI FRANCESCO N. 20 (z.d. 3);VIA;INGEGNOLI FRANCESCO;20;2559;3;16;0;1;hotel adelchi lambrate;;;25;0;Albergo
VIA IPPODROMO N. 8 (z.d. 8);VIA;IPPODROMO;8;6492;8;116;;2;;;;232;;Residence
VIA JACOPO DELLA QUERCIA N. 6 (z.d. 7);VIA;JACOPO DELLA QUERCIA;6;6541;7;14;"3;3;3;1";2;le quercie;4;"R;1;2;M";24;"4;5;4;3";Albergo
VIA JOMMELLI NICCOLO' N. 49 (z.d. 3);VIA;JOMMELLI NICCOLO';49;2426;3;10;;1;hotel venezia;;;17;;Albergo
VIA LAMBRATE N. 9 (z.d. 3);VIA;LAMBRATE;9;2421;3;67;"3;2;8;9;9;9;7;6;10;4";3;pian della nave;9;"T;R;1;2;3;4;5;6;7;8";200;"8;6;24;27;27;27;21;18;30;12";Residence
VIA LAMPEDUSA N. 11 (z.d. 5);VIA;LAMPEDUSA;11;5329;5;328;;4;atahotel quark;;;736;;Albergo
"VIA LAMPEDUSA num.011/a ; (z.d. 5)";;;;;;106;"17;4";4;quark due;7;"1;2;3;4;5;6;7";229;"36;13";Residence
VIA LARIO N. 40 (z.d. 9);VIA;LARIO;40;1171;9;7;0;1;albergo lario;;;17;0;Albergo
VIA LAZZARETTO N. 10 (z.d. 3);VIA;LAZZARETTO;10;2112;3;11;11;1;merano;1;1;25;25;Albergo
VIA LAZZARETTO N. 17 (z.d. 2);VIA;LAZZARETTO;17;2112;2;9;;1;pensione eva;2;;20;;Albergo
VIA LAZZARETTO N. 17 (z.d. 2);VIA;LAZZARETTO;17;2112;2;10;9;1;arno;1;4;16;14;Albergo
"VIA LAZZARETTO N. 5 angolo finocchiaro aprile; (z.d. 2)";VIA;LAZZARETTO;5;2112;2;103;0;4;nh machiavelli;;;203;0;Albergo
VIA LENTASIO N. 3 (z.d. 1);VIA;LENTASIO;3;410;1;64;"18;18;14;10;3";4;ascot;5;"1;2;3;4;5";99;"24;24;22;17;6";Albergo
VIA LEPETIT ROBERTO N. 15 (z.d. 2);VIA;LEPETIT ROBERTO;15;2096;2;48;"3;9;9;9;9;9";4;colombia;6;"R;1;2;3;4;5";81;"4;16;16;16;15;14";Albergo
VIA LEPETIT ROBERTO N. 33 (z.d. 2);VIA;LEPETIT ROBERTO;33;2096;2;57;"12;12;11;10;8";3;florida;5;"1;2;3;4;5";98;"20;20;20;18;16";Albergo
VIA LEPETIT ROBERTO N. 7 (z.d. 2);VIA;LEPETIT ROBERTO;7;2096;2;25;"6;7;7;5";1;boston;4;"1;2;3;4";41;"9;10;11;5";Albergo
VIA LEPONTINA N. 8 (z.d. 9);VIA;LEPONTINA;8;1147;9;60;"25;20;15";3;mirage tre;3;"1;2;3";82;"36;31;15";Residence
VIA LIPPI FILIPPINO N. 28 (z.d. 3);VIA;LIPPI FILIPPINO;28;2196;3;22;;2;hotel gran sasso;;;39;;Albergo
VIA LIPPI FILIPPINO N. 43 (z.d. 3);VIA;LIPPI FILIPPINO;43;2196;3;7;"2;3;2";1;ischia;3;"1;2;3";12;"4;5;3";Albergo
VIA LIPPI FILIPPINO N. 50 (z.d. 3);VIA;LIPPI FILIPPINO;50;2196;3;10;"2;3";2;hotel trentina;3;"T;1;2";20;"4;2";Albergo
VIA LODOVICO IL MORO N. 117 (z.d. 6);VIA;LODOVICO IL MORO;117;5290;6;51;0;4;hotel cà bianca corte del naviglio;;;102;0;Albergo
"VIA LOMBARDI RICCARDO N. 11 annessa dipendenza 3 stelle; (z.d. 7)";VIA;LOMBARDI RICCARDO;11;6893;7;75;0;4;hotel silver;;;150;0;Albergo
"VIA LORENTEGGIO num.278 ;";;;;;;128;;4;IDEA HOTEL MILANO LORENTEGGIO;;;242;;Albergo
VIA LUDOVICO DI BREME N. 77 (z.d. 8);VIA;LUDOVICO DI BREME;77;7396;8;240;0;4;double tree by hilton milan;;;480;0;Albergo
VIA LULLI GIOVANNI N. 11 (z.d. 3);VIA;LULLI GIOVANNI;11;2253;3;22;;1;hotel loris;;;25;;Albergo
VIA LULLI GIOVANNI N. 18 (z.d. 3);VIA;LULLI GIOVANNI;18;2253;3;9;0;1;hotel new milano;3;;16;0;Albergo
VIA LULLI GIOVANNI N. 22 (z.d. 3);VIA;LULLI GIOVANNI;22;2253;3;11;"0;0";2;astrid;;";";23;"0;0";Albergo
VIA LULLI GIOVANNI N. 4 (z.d. 3);VIA;LULLI GIOVANNI;4;2253;3;9;;1;hotel viola;;;14;;Albergo
VIA MACCHI MAURO N. 1 (z.d. 2);VIA;MACCHI MAURO;1;2133;2;52;"13;13;13;13";4;hotel mediolanum;4;"1;2;3;4";93;"25;25;25;23";Albergo
VIA MACCHI MAURO N. 49 (z.d. 2);VIA;MACCHI MAURO;49;2133;2;22;"2;4;4;4;4;4";4;r.t.a. le gare;6;"T;1;2;3;4;5";67;"7;12;12;12;12;12";Albergo
VIA MACCHI MAURO N. 79 (z.d. 2);VIA;MACCHI MAURO;79;2133;2;31;31;4;residenza delle citta;;;93;93;Residence
"VIA MAC MAHON num.045/a ; (z.d. 8)";VIA;MAC MAHON;;7221;8;24;;2;hotel mac mahon;;;44;;Albergo
VIA MANIN DANIELE N. 7 (z.d. 1);VIA;MANIN DANIELE;7;1052;1;119;"16;17;17;17;18;16;18";4;hotel manin;7;"1;2;3;4;5;6;7";183;"23;26;25;25;26;28;30";Albergo
VIA MANZONI ALESSANDRO N. 29 (z.d. 1);VIA;MANZONI ALESSANDRO;29;230;1;102;"20;22;26;12";5 STELLE LUSSO;grand hotel et de milan;5;"1;2;3;4;5";158;"31;33;32;38;24";Albergo
VIA MANZONI ALESSANDRO N. 31 (z.d. 1);VIA;MANZONI ALESSANDRO;31;230;1;95;;5 STELLE LUSSO;ARMANI HOTEL MILANO;;;190;;Albergo
VIA MARCELLO BENEDETTO N. 47 (z.d. 3);VIA;MARCELLO BENEDETTO;47;2128;3;10;0;2;hotel due giardini;;;21;0;Albergo
VIA MARCELLO BENEDETTO N. 59 (z.d. 3);VIA;MARCELLO BENEDETTO;59;2128;3;16;"1;6;6;5";2;hotel rallye;4;"T;1;2;3";25;"2;9;9;5";Albergo
VIA MARCELLO BENEDETTO N. 83 (z.d. 3);VIA;MARCELLO BENEDETTO;83;2128;3;28;"3;8;8";2;hotel the best;3;"T;1;2";56;"6;10;9";Albergo
VIA MARCO D'AGRATE N. 35 (z.d. 5);VIA;MARCO D'AGRATE;35;4276;5;52;"4;8;8;8;8;8;8";3;hotel rex;7;"R;1;2;3;4;5;6";104;"8;16;16;16;16;16;16";Albergo
VIA MARCO POLO N. 13 (z.d. 9);VIA;MARCO POLO;13;1103;9;27;0;2;hotel trieste;;;62;0;Albergo
VIA MARGHERA N. 14 (z.d. 7);VIA;MARGHERA;14;6280;7;20;20;2;pensione fiorella;1;1;35;35;Albergo
VIA MARGHERA N. 2 (z.d. 7);VIA;MARGHERA;2;6280;7;50;"16;6;12";3;hotel nuovo marghera;4;"1;3;2";76;"29;12;22";Albergo
VIA MASACCIO N. 19 (z.d. 8);VIA;MASACCIO;19;6420;8;288;0;5;melia  milano;;;487;0;Albergo
VIA MAZZINI GIUSEPPE N. 10 (z.d. 1);VIA;MAZZINI GIUSEPPE;10;516;1;14;;3;HOTEL LA MADONNINA;;;25;;Albergo
VIA MAZZINI GIUSEPPE N. 4 (z.d. 1);VIA;MAZZINI GIUSEPPE;4;516;1;38;;4;hotel sir edward;;;70;;Albergo
VIA MAZZINI GIUSEPPE N. 8 (z.d. 1);VIA;MAZZINI GIUSEPPE;8;516;1;42;"8;7;7;7;7;7";3;rio;6;"1;2;3;4;5;6";61;"10;11;11;11;11;7";Albergo
VIA MECENATE N. 121 (z.d. 4);VIA;MECENATE;121;3323;4;208;;4;novotel milano linate aeroporto;;;416;;Albergo
VIA MELLONI MACEDONIO N. 17 (z.d. 4);VIA;MELLONI MACEDONIO;17;3085;4;16;;3;residencemignoncase tre;;;26;;Residence
VIA MERCATO N. 1 (z.d. 1);VIA;MERCATO;1;717;1;14;"5;7";1;STYLE HOTEL;2;"1;2";25;"8;12";Albergo
VIA MESSINA N. 10 (z.d. 8);VIA;MESSINA;10;7211;8;131;0;4;hotel hermitage;;;262;0;Albergo
VIA MODENA GUSTAVO N. 20 (z.d. 3);VIA;MODENA GUSTAVO;20;3122;3;17;0;1;brasil;;;25;0;Albergo
VIA MODENA GUSTAVO N. 4 (z.d. 3);VIA;MODENA GUSTAVO;4;3122;3;37;"1;7;7;7;7;4;4";4;residence international;7;"T;1;2;3;4;5;6";59;"1;11;11;11;11;7;7";Residence
"VIA MOLINO DELLE ARMI N. 1 attivita' promiscua rta e albe; (z.d. 1)";VIA;MOLINO DELLE ARMI;1;591;1;17;0;4;petit palais;;;23;0;Residence
"VIA MONETA num.001/a ; (z.d. 1)";VIA;MONETA;;570;1;33;;3;gran duca di york;;;60;;Albergo
VIA MONTE ROSA N. 90 (z.d. 8);VIA;MONTE ROSA;90;6388;8;44;"10;17";4;montebianco;3;"T;1;2";79;"16;25";Albergo
VIA MONTESSORI MARIA N. 14 (z.d. 4);VIA;MONTESSORI MARIA;14;3361;4;56;"10;9;9;9;9;9";4;residence futura;6;"1;2;3;4;5;6";133;"24;22;22;21;21;20";Residence
VIA MORIGI N. 2 (z.d. 1);VIA;MORIGI;2;633;1;32;"7;7;6;6;6;6";4;hotel mentana;6;"1;2;3;4;5;6";48;"10;10;10;9;9;9";Albergo
VIA MURAT GIOACCHINO N. 21 (z.d. 9);VIA;MURAT GIOACCHINO;21;1316;9;133;";;;;";4;contessa jolanda- attività promiscua 133 appartamenti (266 posti letto) e 9 camere albergo per 18 posti letto per un totale di 284 posti letto;8;"4;5;3;7;2";266;";;;;";Residence
VIA MURATORI LODOVICO N. 14 (z.d. 4);VIA;MURATORI LODOVICO;14;4076;4;93;0;4;una hotel mediterraneo;;;206;0;Albergo
VIA MURATORI LODOVICO N. 5 (z.d. 4);VIA;MURATORI LODOVICO;5;4076;4;24;"7;7;7;3";3;residence l m5;4;"1;2;3;4";48;"14;14;14;6";Residence
VIA NICOTERA GIOVANNI N. 9 (z.d. 9);VIA;NICOTERA GIOVANNI;9;1508;9;41;41;4;acca palace;;;82;82;Residence
VIA NOVARA N. 371 (z.d. 7);VIA;NOVARA;371;6624;7;18;0;2;hotel san siro fiera;;;33;0;Albergo
VIA OLGETTINA N. 60 (z.d. 3);VIA;OLGETTINA;60;2530;3;216;216;3;hotel rafael;;;439;439;albergo
VIA ORNATO LUIGI N. 64 (z.d. 9);VIA;ORNATO LUIGI;64;1591;9;144;"93;51";3;centro alberghiero ornato;2;"1;2";252;"141;80";Albergo
VIA ORSEOLO PIETRO N. 1 (z.d. 6);VIA;ORSEOLO PIETRO;1;5113;6;59;;4;;;;101;;Albergo
VIA ORSEOLO PIETRO N. 1 (z.d. 6);VIA;ORSEOLO PIETRO;1;5113;6;59;;4;MERCURE HOTEL;;;101;;
VIA OSIMO AUGUSTO N. 10 (z.d. 4);VIA;OSIMO AUGUSTO;10;4303;4;64;0;4;corvetto residence porto di mare;;;200;0;Residence
VIA OZANAM FEDERICO N. 12 (z.d. 3);VIA;OZANAM FEDERICO;12;2143;3;40;"3;8;7;6";3;hotel napoleon;6;"T;1;2;3;4;5";68;"5;13;12;11";Albergo
VIA PAGANINI NICCOLO' N. 6 (z.d. 3);VIA;PAGANINI NICCOLO';6;2238;3;8;;1;hotel paganini;;;23;;Albergo
VIA PAGANINI NICCOLO' N. 7 (z.d. 3);VIA;PAGANINI NICCOLO';7;2238;3;18;;3;HOTEL DORE';;;39;;Albergo
VIA PALADINI ETTORE N. 7 (z.d. 3);VIA;PALADINI ETTORE;7;3236;3;63;"8;7;4";3;residence bianca croce;9;"R;1;2;3;4;5;6;7;8";115;"14;13;5";Residence
VIA PALAZZI LAZZARO N. 18 (z.d. 3);VIA;PALAZZI LAZZARO;18;2171;3;79;"3;15;15;15;11;4;0";4;hotel sanpi;6;"T;1;2;3;4;5;";160;"6;26;26;26;25;10;0";Albergo
VIA PALLADIO ANDREA N. 8 (z.d. 5);VIA;PALLADIO ANDREA;8;4213;5;48;"7;2;10;5;11;4";1;albergo palladio;7;"T;1;2;3;4;5;6";82;"11;3;18;10;4";Albergo
VIA PALMANOVA N. 153 (z.d. 2);VIA;PALMANOVA;153;2390;2;59;;;HOTEL ADAM;;;99;;Albergo
VIA PALMIERI NICOLA N. 64 (z.d. 5);VIA;PALMIERI NICOLA;64;5323;5;23;23;3;hotel autosole 2;;;46;46;Albergo
"VIA PANIZZA BARTOLOMEO N. 5 2^  e 4° piano; (z.d. 7)";VIA;PANIZZA BARTOLOMEO;5;6208;7;16;0;3;hotel panizza;;;32;0;Albergo
VIA PANTANO N. 8 (z.d. 1);VIA;PANTANO;8;334;1;38;0;4;residence vip s;;;99;0;Residence
VIA PAPI LAZZARO N. 18 (z.d. 4);VIA;PAPI LAZZARO;18;4071;4;36;"2;3;10;10;10";3;hotel di porta romana;5;"1;3;4;5;6";67;"3;5;14;14;14";Albergo
VIA PECCHIO GIUSEPPE N. 2 (z.d. 3);VIA;PECCHIO GIUSEPPE;2;2240;3;26;0;4;hotel del corso;;;45;0;Albergo
VIA PELLIZZONE ANDREA N. 12 (z.d. 3);VIA;PELLIZZONE ANDREA;12;3314;3;34;"4;6;12;6;6";3;majorca;5;"T;1;2;3;4";53;"9;10;18;10;6";Albergo
VIA PERUGINO N. 12 (z.d. 4);VIA;PERUGINO;12;3198;4;32;"5;6;6;6";3;hotel perugino;4;"1;2;3;4";54;"7;7;10;10";Albergo
VIA PESTALOZZA ALESSANDRO N. 28 (z.d. 3);VIA;PESTALOZZA ALESSANDRO;28;2248;3;13;"2;4;4;3";2;hotel piola;4;"T;1;2;3";25;"3;8;8;6";Albergo
VIA PIACENZA N. 4 (z.d. 5);VIA;PIACENZA;4;4064;5;24;"3;21";3;hotel piacenza;2;"R;1";34;"4;30";Albergo
VIA PICCINNI NICOLA N. 25 (z.d. 3);VIA;PICCINNI NICOLA;25;2236;3;11;11;1;hotel san marco;1;;24;24;Albergo
"VIA PIERLUIGI GIOVANNI DA PALESTRINA num.030 ; (z.d. 2)";;;;;;45;"20;19;6";2;hotel virgilio;3;"5;6;7";63;"32;25;6";Albergo
VIA PIERO DELLA FRANCESCA N. 39 (z.d. 8);VIA;PIERO DELLA FRANCESCA;39;7188;8;24;7;3;hotel losanna;;2;47;10;Albergo
VIA PIERO DELLA FRANCESCA N. 48 (z.d. 8);VIA;PIERO DELLA FRANCESCA;48;7188;8;25;"5;8;8;4";2;hotel parma;4;"R;1;2;3";40;"6;22;22;4";Albergo
VIA PIERO DELLA FRANCESCA N. 60 (z.d. 8);VIA;PIERO DELLA FRANCESCA;60;7188;8;31;0;3;piccolo hotel;;;53;0;Albergo
"VIA PIERO DELLA FRANCESCA num.004/7 ; (z.d. 8)";;;;;;10;0;2;locanda gelsomina;1;;25;0;Albergo
VIA PIRELLI GIOVANNI BATTISTA N. 5 (z.d. 2);VIA;PIRELLI GIOVANNI BATTISTA;5;1195;2;10;0;2;hotel stazione;;;23;0;Albergo
VIA PIRELLI GIOVANNI BATTISTA N. 5 (z.d. 2);VIA;PIRELLI GIOVANNI BATTISTA;5;1195;2;69;"10;16;16;16;13";3;hotel new york;5;"2;3;4;5;6";132;"15;29;29;29;16";Albergo
VIA PIRELLI GIOVANNI BATTISTA N. 7 (z.d. 2);VIA;PIRELLI GIOVANNI BATTISTA;7;1195;2;52;0;4;auriga;;;91;0;Albergo
VIA PLINIO CAIO SECONDO N. 22 (z.d. 3);VIA;PLINIO CAIO SECONDO;22;2144;3;14;;1;ambrosiana;;;22;;Albergo
VIA PLINIO CAIO SECONDO N. 22 (z.d. 3);VIA;PLINIO CAIO SECONDO;22;2144;3;16;0;1;ambrosiana;;;22;0;Albergo
VIA PLINIO CAIO SECONDO N. 2 (z.d. 3);VIA;PLINIO CAIO SECONDO;2;2144;3;43;"7;7;7;11;4";3;hotel demidoff;5;"1;2;3;4;5";65;"10;10;10;16;4";Albergo
VIA POERIO CARLO N. 32 (z.d. 3);VIA;POERIO CARLO;32;3181;3;13;"2;5;5;2";1;albergo poerio;4;"T;1;2;3";20;"4;7;7;2";Albergo
VIA POLA N. 4 (z.d. 2);VIA;POLA;4;1156;2;39;;4;residence pola;;;52;;Residence
VIA POLIZIANO N. 11 (z.d. 8);VIA;POLIZIANO;11;7196;8;100;"16;16;16;16;11;11;7;7";4;hotel poliziano fiera;8;"1;2;3;4;5;6;7;8";204;"32;32;32;32;22;22;16;16";Albergo
VIA POLONIA N. 10 (z.d. 8);VIA;POLONIA;10;7505;8;162;162;4;the hub;;;306;306;Albergo
"VIA POMPONAZZI PIETRO N. 3 rta due stelle-appartam 7-14pl; (z.d. 5)";VIA;POMPONAZZI PIETRO;3;5246;5;7;7;3;residenza chiaralba;;;14;14;Residence
VIA PONTE SEVESO N. 38 (z.d. 2);VIA;PONTE SEVESO;38;1203;2;47;0;3;hotel terminal;;;95;0;Albergo
VIA PORLEZZA N. 4 (z.d. 1);VIA;PORLEZZA;4;611;1;36;0;3;hotel genius down town;;;60;0;Albergo
VIA PORPORA NICOLA ANTONIO N. 132 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;132;2229;3;7;7;1;hotela alba;;;12;12;Albergo
VIA PORPORA NICOLA ANTONIO N. 143 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;143;2229;3;10;0;1;hotel chopin;;;21;0;Albergo
VIA PORPORA NICOLA ANTONIO N. 16 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;16;2229;3;10;"3;4";1;paola;3;"R;1;2";24;"4;7";Albergo
VIA PORPORA NICOLA ANTONIO N. 170 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;170;2229;3;11;"1;4";2;albergo iride;3;"T;1;2";19;"2;7";Albergo
VIA PORPORA NICOLA ANTONIO N. 18 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;18;2229;3;11;"3;4;4";2;hotel nizza;3;"R;1;2";23;"4;7;6";Albergo
VIA PORPORA NICOLA ANTONIO N. 52 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;52;2229;3;10;"3;3;2";1;pensione oriente;3;"T;1;2";19;"6;6;3";Albergo
VIA PORPORA NICOLA ANTONIO N. 56 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;56;2229;3;18;"4;6;2";3;hotel etrusco;4;"R;1;2;3";21;"4;7;3";
VIA PORPORA NICOLA ANTONIO N. 87 (z.d. 3);VIA;PORPORA NICOLA ANTONIO;87;2229;3;18;;1;hotel ca  grande;;;21;;Albergo
VIA PORRO EDOARDO N. 8 (z.d. 9);VIA;PORRO EDOARDO;8;1226;9;13;13;3;hotel ares;;;21;21;Albergo
VIA PRATI GIOVANNI N. 6 (z.d. 8);VIA;PRATI GIOVANNI;6;7149;8;31;"1;10;10;10";3;hotel johnny;4;"T;1;2;3";69;"2;16;36;36";Albergo
VIA PRINCIPE EUGENIO N. 45 (z.d. 8);VIA;PRINCIPE EUGENIO;45;7223;8;10;;2;mary hotel fiera;;;25;;Albergo
VIA QUARNERO N. 4 (z.d. 7);VIA;QUARNERO;4;6263;7;11;"1;5;5";1;amalfi;3;"R;1;2";24;"3;8;9";Albergo
VIA RANCATI ILARIONE N. 3 (z.d. 2);VIA;RANCATI ILARIONE;3;2321;2;45;"9;9;9;9;9";3;residence loreto;5;"1;2;3;4;5";80;"16;16;16;16;16";Residence
VIA REINA FRANCESCO N. 18 (z.d. 4);VIA;REINA FRANCESCO;18;3255;4;11;11;1;san giovanni;;;20;20;Albergo
VIA RENZO E LUCIA N. 14 (z.d. 5);VIA;RENZO E LUCIA;14;5412;5;53;;3;hotel dei fiori;3;;108;;Albergo
VIA RICORDI GIOVANNI N. 10 (z.d. 3);VIA;RICORDI GIOVANNI;10;2251;3;23;;;HOTEL ADLER;;;47;;Albergo
VIA RICORDI GIOVANNI N. 10 (z.d. 3);VIA;RICORDI GIOVANNI;10;2251;3;23;"4;8;4;4;3";3;hotel adler;5;"T;1;2;3;4";43;"8;13;5;5;4";Albergo
VIA RICORDI GIOVANNI N. 14 (z.d. 3);VIA;RICORDI GIOVANNI;14;2251;3;9;;1;pensione cuba;;;14;;Albergo
VIA RICORDI GIOVANNI N. 20 (z.d. 3);VIA;RICORDI GIOVANNI;20;2251;3;15;"3;4;4;4";1;hotel malta;4;"R;1;2;3";24;"6;6;6;6";Albergo
VIA RIPAMONTI GIUSEPPE N. 102 (z.d. 5);VIA;RIPAMONTI GIUSEPPE;102;4066;5;18;0;2;apollo;;;40;0;Albergo
VIA RIPAMONTI GIUSEPPE N. 134 (z.d. 5);VIA;RIPAMONTI GIUSEPPE;134;4066;5;28;;2;hotel liguria;;;51;;Albergo
VIA ROSSI PELLEGRINO N. 59 (z.d. 9);VIA;ROSSI PELLEGRINO;59;1510;9;21;0;1;hotel salus;;;36;0;Albergo
VIA ROVELLO N. 10 (z.d. 1);VIA;ROVELLO;10;722;1;24;0;3;hotel giulio cesare;;;34;0;Albergo
VIA ROVELLO N. 3 (z.d. 1);VIA;ROVELLO;3;722;1;29;"10;10;9";2;hotel london;3;"1;2;3";49;"12;12;9";Albergo
VIA RUBENS PIETRO N. 21 (z.d. 7);VIA;RUBENS PIETRO;21;6597;7;87;"19;11";4;hotel rubens;5;"1;2;3;4;5";150;"29;25";Albergo
VIA RUTILIA N. 6 (z.d. 5);VIA;RUTILIA;6;4229;5;23;"9;14";2;hotel garden;2;"R;1";48;"13;27";Albergo
VIA SACCHINI ANTONIO GASPARE N. 17 (z.d. 3);VIA;SACCHINI ANTONIO GASPARE;17;2252;3;18;"3;7;6";2;sara;3;"T;1;2";36;"3;12;10";Albergo
VIA SACCHINI ANTONIO GASPARE N. 19 (z.d. 3);VIA;SACCHINI ANTONIO GASPARE;19;2252;3;10;"1;5;4";1;villa mira;3;"T;1;2";18;"2;8;8";Albergo
VIA SALDINI CESARE N. 24 (z.d. 3);VIA;SALDINI CESARE;24;3206;3;45;;3;hotel citta  studi;;;79;;Albergo
"VIA SAMMARTINI GIOVANNI BATTISTA N. 15 1ø piano; (z.d. 2)";VIA;SAMMARTINI GIOVANNI BATTISTA;15;1202;2;17;17;1;hotel central station;1;1;25;25;Albergo
VIA SAMMARTINI GIOVANNI BATTISTA N. 15 (z.d. 2);VIA;SAMMARTINI GIOVANNI BATTISTA;15;1202;2;18;0;2;hotel ada;1;;25;0;Albergo
VIA SANGIORGIO ABBONDIO N. 16 (z.d. 1);VIA;SANGIORGIO ABBONDIO;16;7138;1;30;0;3;hotel lancaster;;;65;0;Albergo
VIA SAN MAMETE N. 12 (z.d. 2);VIA;SAN MAMETE;12;2413;2;13;13;1;hotel convertini;1;1;28;28;Albergo
VIA SAN RAFFAELE N. 3 (z.d. 1);VIA;SAN RAFFAELE;3;207;1;64;0;4;straf;;;118;0;Albergo
"VIA SAN RAFFAELE N. 6 via san raffaele 7/9; (z.d. 1)";VIA;SAN RAFFAELE;6;207;1;21;0;5;the gray;;;32;0;Albergo
VIA SANTA MARIA FULCORINA N. 15 (z.d. 1);VIA;SANTA MARIA FULCORINA;15;630;1;25;"7;7;7;4";3;hotel nuovo biscione;4;"1;2;3;4";34;"10;10;10;4";Albergo
VIA SANTA RADEGONDA N. 14 (z.d. 1)VIA PELLICO SILVIO N. 8 (z.d. 1);;;;;;18;0;l;town house galleria;;;25;0;Albergo
VIA SANTA SOFIA N. 10 (z.d. 1);VIA;SANTA SOFIA;10;408;1;158;;4;UPTOWN PALACE;;;318;;Albergo
