Ubicazione;Tipo via;Descrizione via;Civico;Codice via;ZD;Camere;Camere piano;Categoria;Insegna;Piani totali;Piano piano;Posti letto;Posti letto per piano;Tipo attività struture extra
PZA ASPROMONTE N. 18 (z.d. 3);PZA;ASPROMONTE;18;2246;3;10;;1;hotel tirreno;;;16;;Albergo
PZA ASPROMONTE N. 22 (z.d. 3);PZA;ASPROMONTE;22;2246;3;29;"5;6;6";3;hotel florence;;"1;2;3";56;"9;11;11";Albergo
"PZA ASPROMONTE num.012/14 ; (z.d. 3)";PZA;ASPROMONTE;;2246;3;19;"4;8;7";3;hotel aspromonte;3;"T;1;2";31;"9;12;10";Albergo
"PZA BECCARIA CESARE N. 6 subingresso con riduzione came; (z.d. 1)";PZA;BECCARIA CESARE;6;306;1;15;"7;20;10";1;hotel nuovo;;"1;2;3";33;"14;37;13";Albergo
"PZA BUONARROTI MICHELANGELO N. 31 r.t.a.con 23 alloggi e 24 p.l.; (z.d. 7)";PZA;BUONARROTI MICHELANGELO;31;6252;8;23;;2;residence le corti;;;24;;Residence
PZA CINQUE GIORNATE N. 6 (z.d. 1);PZA;CINQUE GIORNATE;6;3053;1;22;;2;hotel cinque giornate;;;48;;Albergo
PZA DEL DUOMO N. 25 (z.d. 1);PZA;DEL DUOMO;25;1;1;161;"29;30;50;38;22;2";4;grand hotel duomo;7;"1;2;3;4;5;A";244;"42;46;62;60;31;3";Albergo
PZA DELLA REPUBBLICA N. 13 (z.d. 2);PZA;DELLA REPUBBLICA;13;1055;2;99;"6;6;6;6;6;6;6;6;6;6";I;duca di milano;;"1;2;3;4;5;6;7;8;9;0";189;"11;11;11;11;11;11;11;11;11;11";Albergo
PZA DELLA REPUBBLICA N. 17 (z.d. 2);PZA;DELLA REPUBBLICA;17;1055;2;302;412;5;HOTEL PRINCIPE DI SAVOIA;;;725;812;Albergo
PZA DELLA REPUBBLICA N. 17 (z.d. 2);PZA;DELLA REPUBBLICA;17;1055;2;313;"48;50;41;41;41;43;10;10;10";I;hotel principe di savoia;;"1;2;3;4;5;6;7;8;9";623;"76;81;71;71;85;70;18;18;18";Albergo
PZA DELLA REPUBBLICA N. 20 (z.d. 2);PZA;DELLA REPUBBLICA;20;1055;2;228;"6;28;29;26;24;13";I;the westin palace;;"A;1;2;3;4;5;6;7;8;9";441;"11;48;43;37;22;20";Albergo
PZA DUCA D'AOSTA N. 16 (z.d. 2);PZA;DUCA D'AOSTA;16;1200;2;63;9;3;mini hotel aosta;7;"1;2;3;4;5;6;7";110;"15;16";Albergo
PZA DUCA D'AOSTA N. 9 (z.d. 2);PZA;DUCA D'AOSTA;9;1200;2;243;"45;42;43;43;43;47";l;hotel execelsior gallia;8;"1;2;3;4;5;6";448;"79;71;73;74;69;67";Albergo
