Nome,Tipologia,Numero stelle,Tipo via,Nome via,Civico,Codice via,Municipio,Camere tot,Piani totali,Posti letto tot
FOUR SEASON HOTEL MILAN,ALBERGO,5,VIA,GESU',10,227,1,118,4,240
GALAXY G SRL,ALBERGO,4,CSO,BUENOS AIRES,33,2129,3,65,5,97
GIANNI,ALBERGO,1,VIA,CARCANO FILIPPO,47,6389,7,8,2,10
GIUSTI 6,RESIDENCE,3,VIA,GIUSTI GIUSEPPE,6,7127,1,72,7,169
GONZAGA,ALBERGO,3,VIA,VITRUVIO,43,2134,2,28,4,67
GRAN DUCA DI YORK,ALBERGO,3,VIA,MONETA,1,570,1,33,4,60
GRAND HOTEL DUOMO,ALBERGO,4,PZA,DEL DUOMO,25,1,1,161,7,244
GRAND HOTEL ET DE MILAN,ALBERGO,6,VIA,MANZONI ALESSANDRO,29,230,1,102,5,158
GRAND HOTEL VERDI,ALBERGO,4,VIA,GIOIA MELCHIORRE,6,1108,9,99,6,198
GRAND VISCONTI PALACE,ALBERGO,4,VLE,ISONZO,14,4211,5,172,8,388
GREEN HOUSE RESIDENCE,RESIDENCE,4,VLE,FAMAGOSTA,48,5353,6,54,3,97
HILTON MILAN,ALBERGO,4,VIA,GALVANI LUIGI,12,1179,2,320,8,469
HOLIDAY INN MILAN GARIBALDI STATION,ALBERGO,4,VIA,BASSI UGO,1,1143,9,134,5,272
HOTEL   LEONARDO,ALBERGO,1,VIA,CARCANO FILIPPO,37,6389,7,12,3,22
"HOTEL ""LA VIGNETTA""",ALBERGO,1,VIA,CUSTODI PIETRO,2,5199,5,31,3,56
HOTEL 2000,ALBERGO,2,VIA,VITRUVIO,28,2134,3,14,3,25
HOTEL AC MILANO,ALBERGO,4,VIA,TAZZOLI ENRICO,2,1118,9,160,7,320
HOTEL ACAPULCO,ALBERGO,1,VLE,LOMBARDIA,59,2400,3,11,3,18
HOTEL ACCADEMIA,ALBERGO,4,VLE,CERTOSA,68,7174,8,66,5,130
HOTEL ADA,ALBERGO,2,VIA,SAMMARTINI GIOVANNI BATTISTA,15,1202,2,18,1,25
HOTEL ADAM,ALBERGO,-1,VIA,PALMANOVA,153,2390,2,59,3,99
HOTEL ADELCHI LAMBRATE,ALBERGO,1,VIA,INGEGNOLI FRANCESCO,20,2559,3,16,3,25
HOTEL ADLER,ALBERGO,-1,VIA,RICORDI GIOVANNI,10,2251,3,23,2,47
HOTEL ADMIRAL,ALBERGO,4,VIA,DOMODOSSOLA,16,7152,8,60,6,102
HOTEL AGAPE,ALBERGO,3,VIA,FLUMENDOSA,35,2522,2,43,5,75
HOTEL ALADIN,ALBERGO,1,VLE,DEI MILLE,48,3115,3,10,3,17
HOTEL ALBERT,ALBERGO,3,VIA,TONALE,2,1213,2,62,5,102
HOTEL ALESSANDER,ALBERGO,2,VIA,CORTINA D'AMPEZZO,17,4259,5,13,3,23
HOTEL ALGA,ALBERGO,3,VIA,DEL MARE,93,5318,5,87,5,159
HOTEL AMADEUS,ALBERGO,3,VIA,VITRUVIO,48,2134,3,83,5,150
HOTEL AMBASCIATORI,ALBERGO,4,GLL,DEL CORSO,3,305,1,87,7,150
HOTEL AMBRA,ALBERGO,1,VIA,CACCIANINO ANTONIO,10,2419,3,8,3,18
HOTEL AMENDOLA FIERA,ALBERGO,1,VIA,CARCANO FILIPPO,39,6389,7,11,3,23
HOTEL AMERICA,ALBERGO,1,CSO,VENTIDUE MARZO,32,3074,4,9,3,18
HOTEL ARCO ROMANA,ALBERGO,2,VLE,SABOTINO,16,4046,5,13,3,25
HOTEL ARES,ALBERGO,3,VIA,PORRO EDOARDO,8,1226,9,13,4,21
HOTEL ARIOSTO,ALBERGO,3,VIA,ARIOSTO LODOVICO,22,6184,1,48,5,96
HOTEL ARISTON,ALBERGO,3,LGO,CARROBBIO,2,542,0,52,6,95
HOTEL ARIZONA,ALBERGO,4,VIA,BRESSANONE,4,7425,0,80,5,120
HOTEL ASPROMONTE,ALBERGO,3,PZA,ASPROMONTE,12,2246,3,19,3,31
HOTEL ATLANTIC,ALBERGO,4,VIA,TORRIANI NAPO,24,2126,2,62,6,91
HOTEL AUGUSTUS,ALBERGO,3,VIA,TORRIANI NAPO,29,2126,2,56,8,93
HOTEL AURORA,ALBERGO,1,CSO,BUENOS AIRES,18,2129,3,16,1,25
HOTEL AUTOSOLE 2,ALBERGO,3,VIA,PALMIERI NICOLA,64,5323,5,23,4,46
HOTEL BAGLIORI,ALBERGO,3,VIA,BOSCOVICH RUGGERO,43,2131,3,14,4,19
HOTEL BAVIERA,ALBERGO,4,VIA,CASTALDI PANFILO,7,2119,2,52,4,92
HOTEL BEL SIT,ALBERGO,2,VIA,GALLARATE,2,7420,8,17,3,25
HOTEL BERNA,ALBERGO,4,VIA,TORRIANI NAPO,18,2126,2,122,6,197
HOTEL BOGART 2,ALBERGO,3,VIA,AOSTA,2,7227,8,15,4,25
HOTEL BOLZANO,ALBERGO,3,VIA,BOSCOVICH RUGGERO,21,2131,2,35,4,68
HOTEL BONAPARTE,ALBERGO,4,VIA,CUSANI,13,719,1,92,6,234
HOTEL BONOLA,ALBERGO,2,VIA,TORRAZZA,15,7360,8,15,3,25
HOTEL BOVISA,ALBERGO,2,VIA,BROGLIO EMILIO,28,1246,9,7,3,9
HOTEL BRENTA MILANO,ALBERGO,-1,VLE,BRENTA,33,4151,4,12,2,23
HOTEL BRIVIO,ALBERGO,2,VIA,BRIVIO CESARE,33,1502,9,12,3,21
HOTEL BRUNELLESCHI,ALBERGO,4,VIA,BARACCHINI FLAVIO,12,356,1,177,8,259
HOTEL BUENOS AIRES,ALBERGO,3,CSO,BUENOS AIRES,26,2129,3,25,4,39
HOTEL CA  GRANDE,ALBERGO,1,VIA,PORPORA NICOLA ANTONIO,87,2229,3,18,3,21
HOTEL CAMPION,ALBERGO,3,VLE,BERENGARIO,3,6364,8,27,3,51
HOTEL CANADA,ALBERGO,3,VIA,SANTA SOFIA,16,408,1,35,4,78
HOTEL CANOVA,ALBERGO,3,VIA,TORRIANI NAPO,15,2126,2,59,9,127
HOTEL CAPITOL MILLENNIUM,ALBERGO,4,VIA,CIMAROSA DOMENICO,6,6291,7,66,5,111
HOTEL CASA MIA,ALBERGO,2,VLE,VITTORIO VENETO,30,2107,2,15,3,25
HOTEL CASTELLETTO,ALBERGO,2,VIA,ARCHIMEDE,79,3086,4,14,3,22
HOTEL CATALANI E MADRID,ALBERGO,2,VIA,CATALANI ALFREDO,71,2425,3,20,4,38
HOTEL CAVOUR,ALBERGO,4,VIA,FATEBENEFRATELLI,21,144,1,121,5,224
HOTEL CENTRAL STATION,ALBERGO,1,VIA,SAMMARTINI GIOVANNI BATTISTA,15,1202,2,17,1,25
HOTEL CENTRO,ALBERGO,3,VIA,BROLETTO,46,720,1,54,5,94
HOTEL CERTOSA,ALBERGO,3,VLE,CERTOSA,26,7174,8,25,4,50
HOTEL CERVO,ALBERGO,3,PLE,PRINCIPESSA CLOTILDE,10,1061,9,57,5,79
HOTEL CHARLY,ALBERGO,2,VIA,SETTALA LODOVICO,76,2111,3,20,3,34
HOTEL CHOPIN,ALBERGO,1,VIA,PORPORA NICOLA ANTONIO,143,2229,3,10,3,21
HOTEL CINQUE GIORNATE,ALBERGO,2,PZA,CINQUE GIORNATE,6,3053,1,22,4,48
HOTEL CITTA  STUDI,ALBERGO,3,VIA,SALDINI CESARE,24,3206,3,45,4,79
HOTEL CITY,ALBERGO,4,GLL,BUENOS AIRES,5,2146,3,60,7,100
HOTEL CLUB,ALBERGO,3,VIA,COPERNICO NICOLO',18,1204,2,53,6,73
HOTEL CONCORDE,ALBERGO,4,VLE,MONZA,132,2274,2,120,8,254
HOTEL CONVERTINI,ALBERGO,1,VIA,SAN MAMETE,12,2413,2,13,1,28
HOTEL CORALLO,ALBERGO,3,VIA,CESENA,20,7226,8,35,4,48
HOTEL CORVETTO,ALBERGO,1,PLE,CORVETTO LUIGI EMANUELE,5,4174,4,15,3,25
HOTEL CRISTALLO,ALBERGO,3,VIA,SCARLATTI DOMENICO,22,2136,3,104,6,223
HOTEL CÀ BIANCA CORTE DEL NAVIGLIO,ALBERGO,4,VIA,LODOVICO IL MORO,117,5290,6,51,5,102
HOTEL D ESTE,ALBERGO,4,VLE,BLIGNY,23,4045,5,84,7,138
HOTEL DA XIN,ALBERGO,1,VIA,SETTALA LODOVICO,56,2111,3,7,3,11
HOTEL DATEO,ALBERGO,2,VLE,PICENO,33,3114,4,17,3,33
HOTEL DE ALBERTIS,ALBERGO,2,VIA,DE ALBERTIS SEBASTIANO,7,3138,3,11,3,18
HOTEL DE LA VILLE,ALBERGO,4,VIA,HOEPLI ULRICO,6,190,1,109,6,208
