,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Stelle,Piani tot,Posti letto tot,Tipo struttura
235,HOTEL MENNINI,VIA TORRIANI NAPO,14,2126.0,2.0,62.0,3,7,122.0,ALBERGO
236,HOTEL MENTANA,VIA MORIGI,2,633.0,1.0,32.0,4,6,48.0,ALBERGO
237,HOTEL MERCURE MILANO CENTRO PORTA VENEZI,PZA OBERDAN GUGLIELMO,12,2108.0,3.0,30.0,3,,57.0,ALBERGO
238,HOTEL MERCURIO,VIA SFORZA ASCANIO,73,5201.0,5.0,15.0,2,2,25.0,ALBERGO
239,HOTEL METRO,CSO VERCELLI,61,6193.0,7.0,40.0,3,2,64.0,ALBERGO
240,HOTEL MICHELANGELO,VIA SCARLATTI DOMENICO,33,2136.0,2.0,305.0,4,17,538.0,ALBERGO
241,HOTEL MIGNON,VIA SARONNO,5,7202.0,8.0,15.0,1,4,24.0,ALBERGO
242,HOTEL MILANO SCALA,VIA DELL' ORSO,7,123.0,1.0,62.0,4,1,115.0,ALBERGO
243,HOTEL MILTON MILANO,VIA BUTTI ENRICO,9,1292.0,9.0,110.0,4,,308.0,ALBERGO
244,HOTEL MINERVA,CSO COLOMBO CRISTOFORO,15,5114.0,6.0,39.0,3,,60.0,ALBERGO
245,HOTEL MINERVA,CSO COLOMBO CRISTOFORO,15,5114.0,6.0,44.0,3,,67.0,ALBERGO
246,HOTEL MIRAGE,VIA CASELLA GIOVANNI BATTISTA,61,7382.0,8.0,86.0,4,5,132.0,ALBERGO
247,HOTEL MISTRAL,VIA TOFFETTI VINCENZO,4,4188.0,4.0,26.0,3,3,49.0,ALBERGO
248,HOTEL MOLISE2,VIA CADIBONA,2,3339.0,4.0,30.0,3,,42.0,ALBERGO
249,HOTEL MONDIAL,VIA VITRUVIO,24,2134.0,3.0,17.0,2,3,29.0,ALBERGO
250,HOTEL MONTECARLO,VIA VALLAZZE,39,2250.0,3.0,19.0,1,,32.0,ALBERGO
251,HOTEL MOZART,PZA GERUSALEMME,6,7201.0,8.0,119.0,4,6,208.0,ALBERGO
252,HOTEL MYTHOS,VIA TENCA CARLO,21,2118.0,2.0,52.0,4,,79.0,ALBERGO
253,HOTEL NAPOLEON,VIA OZANAM FEDERICO,12,2143.0,3.0,40.0,3,6,68.0,ALBERGO
254,HOTEL NASCO,CSO SEMPIONE,69,7137.0,8.0,83.0,4,,211.0,ALBERGO
255,HOTEL NETTUNO,VIA TADINO ALESSANDRO,27,2109.0,3.0,22.0,1,4,53.0,ALBERGO
256,HOTEL NEW MILANO,VIA LULLI GIOVANNI,18,2253.0,3.0,9.0,1,3,16.0,ALBERGO
257,HOTEL NEW YORK,VIA PIRELLI GIOVANNI BATTISTA,5,1195.0,2.0,69.0,3,5,132.0,ALBERGO
258,HOTEL NHOW,VIA TORTONA,35,5124.0,6.0,244.0,4,,484.0,ALBERGO
259,HOTEL NICOSIA,CSO VERCELLI,1,6193.0,7.0,7.0,1,,15.0,ALBERGO
260,HOTEL NIZZA,VIA PORPORA NICOLA ANTONIO,18,2229.0,3.0,11.0,2,3,23.0,ALBERGO
261,HOTEL NUOVO,PZA BECCARIA CESARE,6,306.0,1.0,15.0,1,3,33.0,ALBERGO
262,HOTEL NUOVO BISCIONE,VIA SANTA MARIA FULCORINA,15,630.0,1.0,25.0,3,4,34.0,ALBERGO
263,HOTEL NUOVO MARGHERA,VIA MARGHERA,2,6280.0,7.0,50.0,3,4,76.0,ALBERGO
264,HOTEL NUOVO METRO,VLE MONZA,120,2274.0,2.0,15.0,3,,25.0,ALBERGO
265,HOTEL PAGANINI,VIA PAGANINI NICCOLO',6,2238.0,3.0,8.0,1,,23.0,ALBERGO
266,HOTEL PANIZZA,VIA PANIZZA BARTOLOMEO,5,6208.0,7.0,16.0,3,,32.0,ALBERGO
267,HOTEL PARMA,VIA PIERO DELLA FRANCESCA,48,7188.0,8.0,25.0,2,4,40.0,ALBERGO
268,HOTEL PERUGINO,VIA PERUGINO,12,3198.0,4.0,32.0,3,4,54.0,ALBERGO
269,HOTEL PIACENZA,VIA PIACENZA,4,4064.0,5.0,24.0,3,2,34.0,ALBERGO
270,HOTEL PIOLA,VIA PESTALOZZA ALESSANDRO,28,2248.0,3.0,13.0,2,4,25.0,ALBERGO
271,HOTEL POLIZIANO FIERA,VIA POLIZIANO,11,7196.0,8.0,100.0,4,8,204.0,ALBERGO
272,HOTEL PORTA VENEZIA,VIA CASTALDI PANFILO,26,2119.0,3.0,12.0,1,,20.0,ALBERGO
273,HOTEL PRINCIPE DI SAVOIA,PZA DELLA REPUBBLICA,17,1055.0,2.0,313.0,I,9,623.0,ALBERGO
274,HOTEL PRINCIPE EUGENIO,VIA AOSTA,2,7227.0,8.0,15.0,1,,24.0,ALBERGO
275,HOTEL RAFAEL,VIA OLGETTINA,60,2530.0,3.0,216.0,3,1,439.0,ALBERGO
276,HOTEL RAFFAELLO,VLE CERTOSA,108,7174.0,8.0,126.0,4,5,223.0,ALBERGO
277,HOTEL RALLYE,VIA MARCELLO BENEDETTO,59,2128.0,3.0,16.0,2,4,25.0,ALBERGO
278,HOTEL REGENCY,VIA ARIMONDI GIUSEPPE,12,7179.0,8.0,71.0,4,5,125.0,ALBERGO
279,HOTEL REGINA,VIA CORRENTI CESARE,13,555.0,1.0,43.0,4,,59.0,ALBERGO
280,HOTEL REX,VIA MARCO D'AGRATE,35,4276.0,5.0,52.0,3,7,104.0,ALBERGO
281,HOTEL RITTER,CSO GARIBALDI GIUSEPPE,68,1010.0,1.0,89.0,3,7,172.0,ALBERGO
282,HOTEL ROMANA RESIDENCE,CSO DI PORTA ROMANA,64,402.0,1.0,72.0,4,6,147.0,ALBERGO
283,HOTEL ROSSOVINO,VIA BARTOLOZZI FRANCESCO,9,3267.0,4.0,7.0,1,1,12.0,ALBERGO
284,HOTEL RUBENS,VIA RUBENS PIETRO,21,6597.0,7.0,87.0,4,5,150.0,ALBERGO
285,HOTEL SALERNO,VIA VITRUVIO,18,2134.0,3.0,19.0,2,1,39.0,ALBERGO
286,HOTEL SALUS,VIA ROSSI PELLEGRINO,59,1510.0,9.0,21.0,1,,36.0,ALBERGO
287,HOTEL SAN GUIDO,VIA FARINI CARLO,1/a,,8.0,31.0,3,4,47.0,ALBERGO
288,HOTEL SAN MARCO,VIA PICCINNI NICOLA,25,2236.0,3.0,11.0,1,1,24.0,ALBERGO
289,HOTEL SAN SIRO FIERA,VIA NOVARA,371,6624.0,7.0,18.0,2,,33.0,ALBERGO
290,HOTEL SAN TOMASO,VLE TUNISIA,6,2121.0,3.0,12.0,1,1,25.0,ALBERGO
291,HOTEL SANPI,VIA PALAZZI LAZZARO,18,2171.0,3.0,79.0,4,6,160.0,ALBERGO
292,HOTEL SANT AMBREUS,VLE PAPINIANO,14,5097.0,1.0,52.0,3,4,84.0,ALBERGO
293,HOTEL SCALA NORD,VIA FERRUCCI FRANCESCO,10,7150.0,8.0,71.0,3,8,95.0,ALBERGO
294,HOTEL SERENA,VIA BOSCOVICH RUGGERO,59,2131.0,3.0,51.0,3,1,108.0,ALBERGO
295,HOTEL SHERATON DIANA MAJESTIC,VLE PIAVE,42,2179.0,3.0,105.0,4,,205.0,ALBERGO
296,HOTEL SIENA,VIA CASTALDI PANFILO,17,2119.0,3.0,15.0,2,1,25.0,ALBERGO
297,HOTEL SILVER,VIA LOMBARDI RICCARDO,11,6893.0,7.0,75.0,4,,150.0,ALBERGO
298,HOTEL SIR EDWARD,VIA MAZZINI GIUSEPPE,4,516.0,1.0,38.0,4,,70.0,ALBERGO
299,HOTEL SIRO,VIA VENINI GIULIO E CORRADO,59,2258.0,2.0,10.0,1,1,21.0,ALBERGO
300,HOTEL SOPERGA,VIA SOPERGA,24,2262.0,2.0,78.0,3,,134.0,ALBERGO
301,HOTEL STAR,VIA DEI BOSSI,5,115.0,1.0,30.0,3,4,48.0,ALBERGO
302,HOTEL STAZIONE,VIA PIRELLI GIOVANNI BATTISTA,5,1195.0,2.0,10.0,2,,23.0,ALBERGO
303,HOTEL TECO,VIA SPALLANZANI LAZZARO,27,2153.0,3.0,28.0,3,,80.0,ALBERGO
304,HOTEL TERMINAL,VIA PONTE SEVESO,38,1203.0,2.0,47.0,3,,95.0,ALBERGO
305,HOTEL THE BEST,VIA MARCELLO BENEDETTO,83,2128.0,3.0,28.0,2,3,56.0,ALBERGO
306,HOTEL TIRRENO,PZA ASPROMONTE,18,2246.0,3.0,10.0,1,,16.0,ALBERGO
307,HOTEL TOWN HOUSE 31,VIA GOLDONI CARLO,31,3183.0,6.0,18.0,4,,32.0,ALBERGO
308,HOTEL TRENTINA,VIA LIPPI FILIPPINO,50,2196.0,3.0,10.0,2,3,20.0,ALBERGO
309,HOTEL TRIESTE,VIA MARCO POLO,13,1103.0,9.0,27.0,2,,62.0,ALBERGO
310,HOTEL TRIPOLI,PLE TRIPOLI,3,6130.0,6.0,10.0,1,,20.0,ALBERGO
311,HOTEL VALGANNA,VIA VARE' GIOVANNI BATTISTA,32,1245.0,9.0,36.0,3,,72.0,ALBERGO
312,HOTEL VALLEY,VIA SOPERGA,19,2262.0,2.0,11.0,1,,22.0,ALBERGO
313,HOTEL VENEZIA,VIA JOMMELLI NICCOLO',49,2426.0,3.0,10.0,1,,17.0,ALBERGO
314,HOTEL VERONA,VIA TENCA CARLO,12,2118.0,2.0,19.0,1,,25.0,ALBERGO
315,HOTEL VIENNA,VIA ASTOLFO,5,2566.0,3.0,23.0,3,5,35.0,ALBERGO
316,HOTEL VIOLA,VIA LULLI GIOVANNI,4,2253.0,3.0,9.0,1,,14.0,ALBERGO
317,HOTEL VIRGILIO,VIA PIERLUIGI GIOVANNI DA PALESTRINA,30,,2.0,45.0,2,3,63.0,ALBERGO
318,HOTEL VITTORIA,VIA CALVI PIETRO,32,3083.0,4.0,40.0,4,,58.0,ALBERGO
319,HOTEL WAGNER,VIA BUONARROTI MICHELANGELO,13,6253.0,7.0,49.0,4,8,93.0,ALBERGO
320,HOTEL WINDSOR,VIA GALILEI GALILEO,2,1102.0,2.0,103.0,4,7,196.0,ALBERGO
321,HOTEL ZURIGIO,CSO ITALIA,11/a,,1.0,39.0,3,3,70.0,ALBERGO
322,HOTELA ALBA,VIA PORPORA NICOLA ANTONIO,132,2229.0,3.0,7.0,1,1,12.0,ALBERGO
323,IDEA HOTEL MILANO BICOCCA,VIA DELLA GIUSTIZIA,10,1410.0,2.0,145.0,4,,290.0,ALBERGO
324,IDEA HOTEL MILANO CORSO GENOVA,VIA CONCA DEL NAVIGLIO,20,5180.0,1.0,105.0,3,,199.0,ALBERGO
325,IDEA HOTEL MILANO SAN SIRO,VIA AIRAGHI GAETANO,125,6330.0,7.0,234.0,4,,432.0,ALBERGO
326,IDEA HOTEL MILANO WATTTREDICI,VIA WATT GIACOMO,13,5292.0,6.0,87.0,4,1,169.0,ALBERGO
327,IL LEONARDO DA VINCI,VIA SENIGALLIA,6,1708.0,9.0,423.0,4,,922.0,RESIDENCE
328,ISCHIA,VIA LIPPI FILIPPINO,43,2196.0,3.0,7.0,1,3,12.0,ALBERGO
329,JOLIE,VIA GOLDONI CARLO,31,3183.0,6.0,18.0,1,4,28.0,ALBERGO
330,JOLLY HOTEL PRESIDENT,LGO AUGUSTO,10,315.0,1.0,242.0,4,8,530.0,ALBERGO
331,JOLLY TOURING,VIA TARCHETTI IGINIO UGO,2,1060.0,1.0,282.0,4,,577.0,ALBERGO
332,LA CARAVELLA,VIA HAJECH CAMILLO,18,3091.0,4.0,11.0,2,,16.0,
333,LA DARSENA,VIA VIGEVANO,13,5116.0,6.0,75.0,3,4,204.0,RESIDENCE
334,LE QUERCIE,VIA JACOPO DELLA QUERCIA,6,6541.0,7.0,14.0,2,4,24.0,ALBERGO
335,LEONARDO DA VINCI,PZA LEONARDO DA VINCI,10,2208.0,3.0,13.0,1,,20.0,ALBERGO
336,LEONARDO DA VINCI,VIA SENIGALLIA,6,1708.0,9.0,298.0,4,8,864.0,ALBERGO
337,LOCANDA GELSOMINA,VIA PIERO DELLA FRANCESCA,4/7,,8.0,10.0,2,1,25.0,ALBERGO
338,LORETO,VIA BAMBAIA,4,2278.0,2.0,14.0,2,2,25.0,ALBERGO
339,MAISON MOSCHINO,VLE MONTE GRAPPA,12,1101.0,9.0,65.0,4,1,135.0,ALBERGO
340,MAJORCA,VIA PELLIZZONE ANDREA,12,3314.0,3.0,34.0,3,5,53.0,ALBERGO
341,MARRIOT HOTEL,VIA WASHINGTON GIORGIO,66,6111.0,7.0,323.0,4,7,646.0,ALBERGO
342,MARY HOTEL FIERA,VIA PRINCIPE EUGENIO,45,7223.0,8.0,10.0,2,,25.0,ALBERGO
343,MEC HOTEL,VIA TITO LIVIO,4,4086.0,4.0,40.0,3,,71.0,ALBERGO
344,MELIA  MILANO,VIA MASACCIO,19,6420.0,8.0,288.0,5,,487.0,ALBERGO
345,MERANO,VIA LAZZARETTO,10,2112.0,3.0,11.0,1,1,25.0,ALBERGO
346,MIHOTEL,VIA DEI FONTANILI,26,4224.0,5.0,57.0,4,1,75.0,ALBERGO
347,MINI HOTEL AOSTA,PZA DUCA D'AOSTA,16,1200.0,2.0,63.0,3,7,110.0,ALBERGO
348,MINI HOTEL LA SPEZIA,VIA SPEZIA,25,5268.0,5.0,76.0,4,,128.0,ALBERGO
349,MINI HOTEL PORTELLO,VIA SILVA GUGLIELMO,12,6400.0,8.0,96.0,4,4,202.0,ALBERGO
350,MINI HOTEL TIZIANO,VIA TIZIANO VECELLIO,6,6380.0,8.0,54.0,4,3,84.0,ALBERGO
351,MIRAGE TRE,VIA LEPONTINA,8,1147.0,9.0,60.0,3,3,82.0,RESIDENCE
352,MONTEBIANCO,VIA MONTE ROSA,90,6388.0,8.0,44.0,4,3,79.0,ALBERGO
353,MURILLO,VLE MURILLO S.B.,22,6551.0,7.0,25.0,2,3,46.0,ALBERGO
354,MY HOTEL MILANO,VIA TRIESTE,15,6261.0,7.0,10.0,2,1,12.0,ALBERGO
355,NH MACHIAVELLI,VIA LAZZARETTO,5,2112.0,2.0,103.0,4,,203.0,ALBERGO
356,NOVOTEL MILANO LINATE AEROPORTO,VIA MECENATE,121,3323.0,4.0,208.0,4,,416.0,ALBERGO
357,NOVOTEL MILANO NORD,VLE SUZZANI GIOVANNI,13,1446.0,9.0,172.0,4,7,344.0,ALBERGO
358,NUOVO MONOPOLE,VIA FILZI FABIO,43,1190.0,2.0,71.0,3,7,125.0,ALBERGO
359,PALAZZO DELLE STELLINE,CSO MAGENTA,61,604.0,1.0,105.0,3,,167.0,ALBERGO
360,PAOLA,VIA PORPORA NICOLA ANTONIO,16,2229.0,3.0,10.0,1,3,24.0,ALBERGO
361,PARK HYATT MILANO,VIA GROSSI TOMMASO,1,105.0,1.0,106.0,5,,212.0,ALBERGO
362,PENSIONE ARIS,VIA CANONICA LUIGI,79,7121.0,8.0,12.0,1,1,17.0,ALBERGO
363,PENSIONE CAPRI,VLE DEI MILLE,24,3115.0,3.0,11.0,1,3,20.0,ALBERGO
364,PENSIONE CUBA,VIA RICORDI GIOVANNI,14,2251.0,3.0,9.0,1,,14.0,ALBERGO
365,PENSIONE EVA,VIA LAZZARETTO,17,2112.0,2.0,9.0,1,2,20.0,ALBERGO
366,PENSIONE FIORELLA,VIA MARGHERA,14,6280.0,7.0,20.0,2,1,35.0,ALBERGO
367,PENSIONE LANTERNA,VIA ARCHIMEDE,121,3086.0,4.0,7.0,1,3,16.0,ALBERGO
368,PENSIONE ORIENTE,VIA PORPORA NICOLA ANTONIO,52,2229.0,3.0,10.0,1,3,19.0,ALBERGO
369,PETIT PALAIS,VIA MOLINO DELLE ARMI,1,591.0,1.0,17.0,4,,23.0,RESIDENCE
370,PIAN DELLA NAVE,VIA LAMBRATE,9,2421.0,3.0,67.0,3,9,200.0,RESIDENCE
371,PICCOLO HOTEL,VIA PIERO DELLA FRANCESCA,60,7188.0,8.0,31.0,3,,53.0,ALBERGO
372,QUARK DUE,VIA LAMPEDUSA,11/a,,5.0,106.0,4,7,229.0,RESIDENCE
373,R.T.A. ATAHOTEL DE ANGELI,VIA TRIVULZIO ANTONIO TOLOMEO,8,6277.0,7.0,68.0,4,,192.0,ALBERGO
374,R.T.A. COLA MONTANO,VIA COLA MONTANO,29,1139.0,9.0,21.0,2,,21.0,RESIDENCE
375,R.T.A. LE GARE,VIA MACCHI MAURO,49,2133.0,2.0,22.0,4,6,67.0,ALBERGO
376,RADISSON BLU HOTEL MILAN,VIA VILLAPIZZONE,24,7272.0,8.0,250.0,4,1,500.0,ALBERGO
377,RADISSON BLU HOTEL MILAN,CODVIA 0000,24,,,259.0,4,1,518.0,ALBERGO
378,RAMADA PLAZA MILANO,VIA STAMIRA D'ANCONA,27,2337.0,2.0,167.0,4,1,334.0,ALBERGO
379,RESIDENCE 2GI,VIA AJRAGHI CESARE,30,7276.0,8.0,17.0,2,,22.0,RESIDENCE
380,RESIDENCE ATAHOTEL LINEA UNO,VLE MONZA,139,2274.0,2.0,89.0,4,7,254.0,ALBERGO
381,RESIDENCE ATAHOTEL THE BIG,VIA DE CRISTOFORIS CARLO,6,1120.0,9.0,125.0,4,10,245.0,ALBERGO
382,RESIDENCE BIANCA CROCE,VIA PALADINI ETTORE,7,3236.0,3.0,63.0,3,9,115.0,RESIDENCE
383,RESIDENCE BOCCONI,VIA SIRACUSA,5/7,4032.0,1.0,48.0,4,4,97.0,RESIDENCE
384,RESIDENCE BONNET,VIA BONNET NINO,6/b,1109.0,9.0,19.0,2,5,45.0,RESIDENCE
385,RESIDENCE BORGONUOVO,VIA BORGONUOVO,1,139.0,1.0,16.0,4,4,32.0,RESIDENCE
386,RESIDENCE CERVA,VIA CERVA,16,314.0,1.0,7.0,3,,7.0,RESIDENCE
387,RESIDENCE CIMAROSA,VIA CIMAROSA DOMENICO,19,6291.0,7.0,23.0,3,,27.0,RESIDENCE
388,RESIDENCE COLONNA,VIA COLONNA VITTORIA,48,6284.0,7.0,13.0,3,3,26.0,RESIDENCE
389,RESIDENCE DESENZANO,VIA DESENZANO,12,6610.0,7.0,60.0,3,6,115.0,RESIDENCE
390,RESIDENCE DI CORSO ITALIA,CSO ITALIA,34,526.0,1.0,41.0,4,,81.0,RESIDENCE
391,RESIDENCE DONATELLO,VIA DONATELLO,10/12,2214.0,3.0,10.0,4,2,20.0,RESIDENCE
392,RESIDENCE FUTURA,VIA MONTESSORI MARIA,14,3361.0,4.0,56.0,4,6,133.0,RESIDENCE
393,RESIDENCE GIAMBELLINO DI LAURA FIAMBERTI,VIA GIAMBELLINO,9,5136.0,6.0,9.0,2,1,18.0,RESIDENCE
394,RESIDENCE INTERNATIONAL,VIA MODENA GUSTAVO,4,3122.0,3.0,37.0,4,7,59.0,RESIDENCE
395,RESIDENCE L M5,VIA MURATORI LODOVICO,5,4076.0,4.0,24.0,3,4,48.0,RESIDENCE
396,RESIDENCE LE CORTI,PZA BUONARROTI MICHELANGELO,31,6252.0,7.0,23.0,2,,24.0,RESIDENCE
397,RESIDENCE LORETO,VIA RANCATI ILARIONE,3,2321.0,2.0,45.0,3,5,80.0,RESIDENCE
398,RESIDENCE MISSORI,VIA ALBRICCI ALBERICO,4,337.0,1.0,73.0,4,9,158.0,RESIDENCE
399,RESIDENCE OSOPPO,VIA FRASSINETTI ROMEO,2,6563.0,7.0,25.0,4,,77.0,RESIDENCE
400,RESIDENCE POLA,VIA POLA,4,1156.0,2.0,39.0,4,,52.0,RESIDENCE
401,RESIDENCE PORTELLO,VIA GHIBERTI LORENZO,1,6542.0,7.0,16.0,3,,32.0,RESIDENCE
402,RESIDENCE SIGIERI,VIA SIGIERI GOFFREDO,3,4080.0,4.0,19.0,3,,24.0,RESIDENCE
403,RESIDENCE SILOE,VIA CESARI ANTONIO,19,1603.0,9.0,89.0,4,7,199.0,RESIDENCE
404,RESIDENCE VIP S,VIA PANTANO,8,334.0,1.0,38.0,4,,99.0,RESIDENCE
405,RESIDENCEMIGNONCASE TRE,VIA MELLONI MACEDONIO,17,3085.0,4.0,16.0,3,,26.0,RESIDENCE
406,RESIDENZA CHIARALBA,VIA POMPONAZZI PIETRO,3,5246.0,5.0,7.0,3,1,14.0,RESIDENCE
407,RESIDENZA DELLE CITTA,VIA MACCHI MAURO,79,2133.0,2.0,31.0,4,1,93.0,RESIDENCE
408,RIO,VIA MAZZINI GIUSEPPE,8,516.0,1.0,42.0,3,6,61.0,ALBERGO
409,ROYAL,VIA GOLDONI CARLO,84,3183.0,6.0,14.0,3,,25.0,ALBERGO
410,SAN GIOVANNI,VIA REINA FRANCESCO,18,3255.0,4.0,11.0,1,1,20.0,ALBERGO
411,SARA,VIA SACCHINI ANTONIO GASPARE,17,2252.0,3.0,18.0,2,3,36.0,ALBERGO
412,SORRENTO,VLE ESPINASSE CARLO,22,7390.0,8.0,10.0,1,3,20.0,ALBERGO
413,SPADARI AL DUOMO,VIA SPADARI,11,518.0,1.0,40.0,4,7,99.0,ALBERGO
414,ST. GEORGE HOTEL,VLE TUNISIA,9,2121.0,3.0,50.0,4,5,99.0,ALBERGO
415,STARHOTELS E.C.H.O.,VLE DORIA ANDREA,4,2230.0,2.0,143.0,4,7,299.0,ALBERGO
416,STARHOTELS ANDERSON,PZA LUIGI DI SAVOIA,20,2260.0,2.0,106.0,4,8,212.0,ALBERGO
417,STARHOTELS BUSINESS PALACE,VIA GAGGIA PIETRO,3,4187.0,4.0,259.0,4,,468.0,ALBERGO
418,STARHOTELS RITZ,VIA SPALLANZANI LAZZARO,40,2153.0,3.0,207.0,4,8,386.0,ALBERGO
419,STARHOTELS ROSA GRAND,PZA FONTANA,3,308.0,1.0,327.0,4,6,650.0,ALBERGO
420,STARHOTELS TOURIST,VLE TESTI FULVIO,300,1441.0,9.0,140.0,4,6,250.0,ALBERGO
421,STRAF,VIA SAN RAFFAELE,3,207.0,1.0,64.0,4,,118.0,ALBERGO
422,SUNSET CITY,VIA COLOMBO GIUSEPPE,14,3201.0,3.0,10.0,3,,17.0,ALBERGO
423,TENCARESIDENCE,VIA TENCA CARLO,11,2118.0,2.0,27.0,3,,92.0,RESIDENCE
424,THE GRAY,VIA SAN RAFFAELE,6,207.0,1.0,21.0,5,,32.0,ALBERGO
425,THE HUB,VIA POLONIA,10,7505.0,8.0,162.0,4,1,306.0,ALBERGO
426,THE WESTIN PALACE,PZA DELLA REPUBBLICA,20,1055.0,2.0,228.0,I,10,441.0,ALBERGO
427,TOWN HOUSE 12,PZA GERUSALEMME,12,7201.0,8.0,15.0,4,,23.0,ALBERGO
428,TOWN HOUSE GALLERIA,VIA PELLICO SILVIO,8,,1.0,18.0,l,,25.0,ALBERGO
429,TRENTO,VIA DAL POZZO TOSCANELLI PAOLO,4,2516.0,2.0,16.0,1,3,23.0,ALBERGO
430,UNA HOTEL CENTURY,VIA FILZI FABIO,25/a,1190.0,2.0,144.0,4,17,288.0,ALBERGO
431,UNA HOTEL MEDITERRANEO,VIA MURATORI LODOVICO,14,4076.0,4.0,93.0,4,,206.0,ALBERGO
432,UNA HOTEL SCANDINAVIA,VIA FAUCHE' GIOVANNI BATTISTA,15,7192.0,8.0,153.0,4,,292.0,ALBERGO
433,UNA HOTEL TOCQ,VIA DI TOCQUEVILLE ALESSIO,7,1703.0,9.0,109.0,4,,272.0,ALBERGO
434,VALLAZZE,VIA VALLAZZE,14,2250.0,3.0,13.0,1,1,22.0,ALBERGO
435,VECCHIA MILANO,VIA BORROMEI,4,632.0,1.0,28.0,3,2,43.0,ALBERGO
436,VILLA GIOVANNA,VIA WASHINGTON GIORGIO,42,6111.0,7.0,12.0,1,3,16.0,ALBERGO
437,VILLA MIRA,VIA SACCHINI ANTONIO GASPARE,19,2252.0,3.0,10.0,1,3,18.0,ALBERGO
438,VISERBA RESIDENCE,VIA VISERBA,18/a,2417.0,2.0,47.0,3,3,96.0,RESIDENCE
439,XXII MARZO,PZA SANTA MARIA DEL SUFFRAGIO,3,3078.0,4.0,15.0,2,,25.0,ALBERGO
440,ZEFIRO,VIA GALLINA GIACINTO,12,3105.0,3.0,54.0,4,5,92.0,ALBERGO
441,,CSO CONCORDIA,1,3116.0,3.0,77.0,5,,180.0,ALBERGO
442,,PZA SANT' EUSTORGIO,2,5186.0,1.0,22.0,3,,38.0,ALBERGO
443,,VIA BREMBO,27,4219.0,5.0,55.0,2,,99.0,RESIDENCE
444,,VIA FELTRE,19,2652.0,3.0,38.0,4,,70.0,ALBERGO
445,,VIA IPPODROMO,8,6492.0,8.0,116.0,2,,232.0,RESIDENCE
446,,VIA ORSEOLO PIETRO,1,5113.0,6.0,59.0,4,,101.0,ALBERGO
448,,VIA SAN TOMASO,8,723.0,1.0,11.0,4,,22.0,ALBERGO
449,,VIA STEPHENSON GIORGIO,55,,,256.0,4,,512.0,ALBERGO
450,,VIA VENEZIA GIULIA,9,7500.0,8.0,115.0,4,,230.0,ALBERGO
