,Insegna,Via,Civico,Codice via,Municipio,Camere tot,Stelle,Piani tot,Posti letto tot,Tipo struttura
54,ATAHOTEL EXECUTIVE,VLE STURZO DON LUIGI,45,1704.0,9.0,420.0,4,6,792.0,ALBERGO
55,ATAHOTEL QUARK,VIA LAMPEDUSA,11,5329.0,5.0,328.0,4,,736.0,ALBERGO
56,ATENA,VLE PIAVE,5,2179.0,1.0,12.0,2,,24.0,ALBERGO
57,AURIGA,VIA PIRELLI GIOVANNI BATTISTA,7,1195.0,2.0,52.0,4,,91.0,ALBERGO
58,BOSCOLO HOTEL EXEDRA,CSO MATTEOTTI GIACOMO,4/6,218.0,1.0,154.0,l,1,308.0,ALBERGO
59,BOSTON,VIA LEPETIT ROBERTO,7,2096.0,2.0,25.0,1,4,41.0,ALBERGO
60,BRASIL,VIA MODENA GUSTAVO,20,3122.0,3.0,17.0,1,,25.0,ALBERGO
61,BULGARI HOTELS  E  RESORTS MILANO,VIA F.LLI GABBA,7,146.0,1.0,59.0,,,118.0,ALBERGO
62,CALIPSO,VIA GAFFURIO FRANCHINO,1,2138.0,3.0,19.0,1,,32.0,ALBERGO
63,CAMPERIO HOUSE HOTEL  E  RESIDENCE,VIA GIULINI GIORGIO,6,613.0,1.0,10.0,4,,20.0,ALBERGO
64,CARLTON HOTEL BAGLIONI,VIA SENATO,5,236.0,1.0,93.0,5,,186.0,ALBERGO
65,CARLYLE BRERA HOTEL,CSO GARIBALDI GIUSEPPE,84,1010.0,1.0,98.0,4,7,203.0,ALBERGO
66,CASA ALBERGO RESIDENCE ZARA LAGOSTA,VLE ZARA,1,1170.0,9.0,32.0,4,,64.0,RESIDENCE
67,CENTRO ALBERGHIERO ORNATO,VIA ORNATO LUIGI,64,1591.0,9.0,144.0,3,2,252.0,ALBERGO
68,CLASS,VIA CORNALIA EMILIO,7,1182.0,9.0,26.0,2,3,52.0,RESIDENCE
69,COLOMBIA,VIA LEPETIT ROBERTO,15,2096.0,2.0,48.0,4,6,81.0,ALBERGO
70,CONTESSA JOLANDA- ATTIVITÀ PROMISCUA 133 APPARTAMENTI (266 POSTI LETTO) E 9 CAMERE ALBERGO PER 18 POSTI LETTO PER UN TOTALE DI 284 POSTI LETTO,VIA MURAT GIOACCHINO,21,1316.0,9.0,133.0,4,8,266.0,RESIDENCE
71,CORVETTO RESIDENCE PORTO DI MARE,VIA OSIMO AUGUSTO,10,4303.0,4.0,64.0,4,,200.0,RESIDENCE
72,CRISTOFORO COLOMBO,CSO BUENOS AIRES,3,2129.0,3.0,116.0,4,4,191.0,ALBERGO
73,CROWNE PLAZA MILAN CITY,VIA GIOIA MELCHIORRE,73,1108.0,2.0,109.0,4,,218.0,ALBERGO
74,DEPENDANCE HOTEL BERNA,VIA TORRIANI NAPO,17,2126.0,2.0,16.0,3,,24.0,ALBERGO
75,DOMUS,VLE ABRUZZI,67,2177.0,3.0,20.0,3,,36.0,RESIDENCE
76,DORIA GRAND HOTEL,VLE DORIA ANDREA,22,2230.0,3.0,124.0,4,10,234.0,ALBERGO
77,DORIA SUISSE,VLE DEI MILLE,48,3115.0,3.0,14.0,1,4,20.0,ALBERGO
78,DOUBLE TREE BY HILTON MILAN,VIA LUDOVICO DI BREME,77,7396.0,8.0,240.0,4,,480.0,ALBERGO
79,DUCA DI MILANO,PZA DELLA REPUBBLICA,13,1055.0,2.0,99.0,I,10,189.0,ALBERGO
80,ENTERPRISE HOTEL,CSO SEMPIONE,91,,8.0,113.0,4,,216.0,ALBERGO
81,EUROHOTEL,VIA SIRTORI GIUSEPPE,24,2180.0,3.0,60.0,3,,101.0,ALBERGO
82,EXELLENT,VLE DEI MILLE,48,3115.0,3.0,14.0,1,1,16.0,ALBERGO
83,FERRARI,CSO VERCELLI,55,6193.0,7.0,14.0,1,3,25.0,ALBERGO
